
="",="(1)",="(2)",="(3)",="(4)"
="",="seconcilio",="seconcilio",="p_actor",="p_actor"

="main",="",="",="",=""
="1.time_hr",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.time_hr",="-0.0496",="-0.0397",="-0.0410",="-0.133"
="",="(0.0410)",="(0.0389)",="(0.0401)",="(0.138)"

="3.time_hr",="-0.0604*",="-0.0130",="-0.0878***",="-0.326***"
="",="(0.0312)",="(0.0295)",="(0.0317)",="(0.115)"

="4.time_hr",="-0.0471",="-0.0423",="-0.0474",="-0.157"
="",="(0.0398)",="(0.0389)",="(0.0376)",="(0.131)"

="5.time_hr",="-0.0744**",="-0.0311",="-0.0649*",="-0.224*"
="",="(0.0321)",="(0.0298)",="(0.0334)",="(0.121)"

="6.time_hr",="-0.0904**",="-0.0440",="-0.129***",="-0.503***"
="",="(0.0414)",="(0.0417)",="(0.0406)",="(0.174)"

="7.time_hr",="-0.0648*",="-0.0248",="-0.0419",="-0.138"
="",="(0.0373)",="(0.0380)",="(0.0353)",="(0.119)"

="8.time_hr",="0.306**",="0.293*",="-0.0142",="-0.0297"
="",="(0.137)",="(0.155)",="(0.122)",="(0.435)"

="1.calculadora",="",="",="0.0288",="0.108"
="",="",="",="(0.0175)",="(0.0680)"

="N",="1723",="1401",="1732",="1732"
="R-sq",="0.080",="0.101",="0.037",=""
="Control Mean",="",="",="0.174",=""
="rsq",="",="",="",="0.0427"
="pval",="0.0323",="0.191",="0.0670",="0.0844"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
