
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio"

="1.treatment",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.treatment",="0.086**",="0.042",="0.0067",="0.088**",="0.042",="0.021",="0.064*",="0.048",="0.023",="0.066**",="0.067**",="0.016",="0.054**",="0.044*",="0.020",="0.074**",="0.050",="0.0051"
="",="(0.034)",="(0.035)",="(0.021)",="(0.034)",="(0.028)",="(0.019)",="(0.034)",="(0.031)",="(0.022)",="(0.033)",="(0.031)",="(0.021)",="(0.024)",="(0.022)",="(0.017)",="(0.033)",="(0.036)",="(0.021)"

="0.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.interaction",="0.035",="0.083",="0.032",="0.043",="0.053",="0.062**",="0.026",="0.042",="-0.00052",="-0.011",="0.064",="0.018",="0.11",="0.053",="-0.012",="0.037",="0.098",="0.053"
="",="(0.030)",="(0.069)",="(0.039)",="(0.030)",="(0.040)",="(0.026)",="(0.028)",="(0.044)",="(0.027)",="(0.029)",="(0.044)",="(0.024)",="(0.068)",="(0.11)",="(0.041)",="(0.031)",="(0.065)",="(0.038)"

="1.treatment#0.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treatment#1.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.treatment#0.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

