
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="trabajador_base",="c_antiguedad",="abogado_pub",="indem",="salario_diario",="prima_antig",="min_ley"

="1.time_hr",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.time_hr",="0.0588",="-0.346",="0.0130",="-0.0666*",="7.412",="-0.0151",="8909.1"
="",="(0.0379)",="(0.623)",="(0.0221)",="(0.0391)",="(90.22)",="(0.0428)",="(10278.3)"

="3.time_hr",="0.0297",="-0.648",="0.0386*",="-0.0600**",="86.98",="-0.0328",="11390.7"
="",="(0.0262)",="(0.445)",="(0.0200)",="(0.0298)",="(90.74)",="(0.0318)",="(9100.5)"

="4.time_hr",="-0.0358",="-0.596",="0.0322",="-0.00204",="-8.639",="0.0265",="1243.9"
="",="(0.0254)",="(0.498)",="(0.0240)",="(0.0370)",="(87.19)",="(0.0342)",="(8802.9)"

="5.time_hr",="0.0289",="-0.382",="0.0215",="-0.0613*",="146.7",="-0.0439",="16760.3"
="",="(0.0284)",="(0.491)",="(0.0208)",="(0.0363)",="(107.8)",="(0.0367)",="(10639.8)"

="6.time_hr",="-0.0379",="-0.759",="0.00150",="-0.0702",="-33.54",="-0.0501",="-3711.1"
="",="(0.0289)",="(0.507)",="(0.0220)",="(0.0453)",="(117.5)",="(0.0479)",="(11996.4)"

="7.time_hr",="-0.0272",="-0.531",="0.0519**",="-0.0637",="-59.07",="-0.0163",="-4735.1"
="",="(0.0277)",="(0.582)",="(0.0246)",="(0.0389)",="(74.50)",="(0.0369)",="(7210.8)"

="8.time_hr",="-0.112***",="-0.0313",="-0.0541***",="-0.158",="-158.8",="-0.219*",="-12849.4"
="",="(0.0201)",="(1.148)",="(0.0142)",="(0.139)",="(148.7)",="(0.122)",="(14470.0)"

="_cons",="0.112***",="4.920***",="0.0541***",="0.858***",="621.1***",="0.819***",="67822.2***"
="",="(0.0201)",="(0.358)",="(0.0142)",="(0.0229)",="(56.23)",="(0.0247)",="(5456.1)"

="N",="1686",="1585",="1686",="1634",="1642",="1635",="1617"
="R-sq",="0.011",="0.002",="0.005",="0.006",="0.004",="0.005",="0.004"
="F p-value",="5.13e-35",="0.741",="2.62e-19",="0.240",="0.445",="0.123",="0.323"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
