
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio"

="1.calculadora",="0.016",="0.0060",="-0.051",="0.013",="0.0032",="-0.061"
="",="(0.016)",="(0.017)",="(0.047)",="(0.016)",="(0.017)",="(0.049)"

="1.p_actor",="0.15***",="0.14***",="0.13***",="0.14***",="0.12***",="0.12***"
="",="(0.040)",="(0.042)",="(0.042)",="(0.043)",="(0.044)",="(0.044)"

="1.calculadora#1.p_actor",="0.14***",="0.14***",="0.15***",="0.19***",="0.20***",="0.20***"
="",="(0.052)",="(0.053)",="(0.054)",="(0.058)",="(0.058)",="(0.059)"

="N",="1723",="1553",="1553",="1546",="1425",="1425"
="R-sq",="0.139",="0.203",="0.207",="0.153",="0.218",="0.221"
="F_stat",="",="",="0.97",="",="",="0.72"
="pval_F",="",="",="0.47",="",="",="0.70"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
