
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="npvImputed_wz",="asinhNPVImputed",="asinhNPVImputed_robust",="npv_wz",="asinhNPV"

="calculadora",="-404.6",="-0.45",="-0.42",="-952.0",="-0.83*"
="",="(650.5)",="(0.49)",="(0.49)",="(605.6)",="(0.46)"

="p_actor",="3022.7**",="-0.18",="-0.21",="2939.9**",="0.25"
="",="(1488.0)",="(0.95)",="(0.96)",="(1320.6)",="(0.92)"

="c.calculadora#c.p_actor",="511.1",="2.63**",="2.68**",="1312.8",="2.82***"
="",="(1679.1)",="(1.08)",="(1.09)",="(1502.9)",="(1.09)"

="N",="1698",="1698",="1698",="1698",="1698"
="R-sq",="0.067",="0.116",="0.110",="0.071",="0.123"
="DepVarMean",="7123.1",="2.21",="2.48",="5382.0",="0.19"
="IntContMean",="9802.8",="2.72",="2.95",="7817.7",="1.15"
="testInteraction",="0.95",="0.028",="0.025",="0.81",="0.050"
="pval_ri",="0.46",="0.49",="0.50",="0.15",="0.080"
="pval_ri_int",="0.77",="0",="0",="0.37",="0"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
