coef_m1,std_m1,coef_m2,std_m2,coef_m3,std_m3,coef_m4,std_m4,coef_m5,std_m5,coef_m6,std_m6,coef_m7,std_m7,coef_m8,std_m8,coef_m9,std_m9,coef_m10,std_m10,coef_m11,std_m11,coef_m12,std_m12,coef_m13,std_m13,coef_m14,std_m14,coef_m15,std_m15,feature,imp_mean_m1,imp_std_m1,imp_mean_m2,imp_std_m2,imp_mean_m3,imp_std_m3,imp_mean_m4,imp_std_m4,imp_mean_m5,imp_std_m5,imp_mean_m6,imp_std_m6,imp_mean_m7,imp_std_m7,imp_mean_m8,imp_std_m8,imp_mean_m9,imp_std_m9,imp_mean_m10,imp_std_m10,imp_mean_m11,imp_std_m11,imp_mean_m12,imp_std_m12,imp_mean_m13,imp_std_m13,imp_mean_m14,imp_std_m14,imp_mean_m15,imp_std_m15
0.4054,0.012,0.0296,0.005,0.0194,0.002,0.0752,0.002,0.2358,0.007,0.3845,0.044,2.3584,0.077,1.7903,0.218,0.5296,0.021,1.216,0.32,1.1769,0.237,0.8685,0.129,0.3931,0.035,2.36,0.077,10.9157,1.797,reclutamiento,0.0,0.0,0.0002000800320127727,0.0,0.0,0.0,0.0,0.0,-0.0004001600640255454,0.0,0.0,0.0,0.0003593025837634878,0.0,0.0006384241243182487,0.0,0.0009304189170917798,0.0,-0.002557617189722805,0.0,0.016157493529466715,0.0,8.285466155166787e-06,0.0,0.0006444492167463345,0.0,0.00024977694709782394,0.0,5.7680671350368584e-09,0.0
0.4055,0.287,0.3131,0.099,0.026,0.051,0.0765,0.053,0.2389,0.176,0.1074,0.284,2.3234,2.367,-0.0089,1.398,0.1488,0.623,0.7701,1.223,0.0,0.0,0.0,0.0,0.0,0.0,2.3411,2.369,0.0,0.0,giro_empresa_d2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006199535776019616,0.0,0.0,0.0,0.029076192185812033,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.00251188463866836,0.0,9.416591328914592e-08,0.0
0.4055,0.287,0.0268,0.099,0.0164,0.051,0.0759,0.053,0.2611,0.176,0.0,0.0,2.3334,1.673,0.0,0.0,0.3872,0.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3166,1.675,0.0,0.0,giro_empresa_d3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.797000207114934e-08,0.0,0.0,0.0,9.5652787040712e-05,0.0,-7.0954229158815e-09,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.0,0.0,0.00042909982968908356,0.0,0.0,0.0
0.4055,0.112,0.0139,0.039,0.0076,0.02,0.0755,0.021,0.2411,0.069,0.0,0.0,2.3838,0.966,0.0,0.0,0.6589,0.254,0.0,0.0,0.0,0.0,0.6833,0.425,0.4491,0.426,2.4263,0.966,0.0,0.0,giro_empresa_d4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.271490977123207e-07,0.0,0.0,0.0,0.0,0.0,-7.0954229158815e-09,0.0,-1.1102230246251565e-16,0.0,0.00038338304197893525,0.0,-5.187761622504894e-07,0.0,0.0006915222660492937,0.0,0.0,0.0
0.4054,0.031,0.0829,0.011,0.0337,0.006,0.0744,0.006,0.2494,0.019,0.2168,0.053,2.3364,0.243,1.1561,0.279,0.5133,0.064,0.779,0.277,1.0831,0.4,1.1467,0.296,0.4122,0.068,2.3303,0.243,10.0511,2.124,giro_empresa_d5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031619346179234675,0.0,-0.0020882919740756734,0.0,2.4506985166539152e-05,0.0,0.009034909245883682,0.0,0.007817036626444174,0.0,0.0,0.0,0.00027349990847969075,0.0,0.007738995362903678,0.0,-1.7461843970778546e-08,0.0
0.4055,0.095,0.0183,0.033,0.0346,0.017,0.0754,0.018,0.2334,0.059,0.5691,0.283,2.3402,0.713,2.3877,1.393,0.5066,0.188,0.0,0.0,1.2739,1.235,0.2279,1.045,0.3968,0.19,2.3365,0.713,9.8666,10.101,giro_empresa_d6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0325332344861557e-05,0.0,-0.000672481472932418,0.0,5.930149800359441e-05,0.0,-7.0954229158815e-09,0.0,0.0030123969551500984,0.0,4.6341295097063195e-05,0.0,0.00023689791675218785,0.0,0.000845366193841457,0.0,-5.519913415241717e-10,0.0
0.4054,0.068,0.0366,0.024,0.0088,0.012,0.0739,0.013,0.243,0.042,0.0892,0.284,2.3783,0.515,-0.0098,1.398,0.6578,0.135,1.0853,1.223,0.0,0.0,1.1283,0.737,0.4398,0.128,2.3752,0.515,0.0,0.0,giro_empresa_d7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0157187550374758e-05,0.0,0.00016448031001914387,0.0,0.00011349678919359008,0.0,0.0009757490549873182,0.0,-1.1102230246251565e-16,0.0,0.0,0.0,0.00014294300979877939,0.0,0.0009721347537475777,0.0,6.572520305780927e-14,0.0
0.4054,0.024,0.0513,0.009,0.0455,0.004,0.0751,0.005,0.2432,0.015,0.3791,0.047,2.3523,0.196,1.653,0.232,0.5595,0.052,1.2265,0.333,1.0829,0.264,0.9306,0.176,0.3335,0.054,2.3549,0.197,10.4075,1.845,giro_empresa_d8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000982617146323972,0.0,0.03448129955988577,0.0,7.021125486006419e-06,0.0,-0.005421386252237426,0.0,0.02575431065049505,0.0,0.002029483414216271,0.0,0.0002421533439578294,0.0,0.0064056864440801276,0.0,-3.1306320869006754e-08,0.0
0.4054,0.01,0.0526,0.004,0.0175,0.002,0.0744,0.002,0.2417,0.006,0.2132,0.029,2.3635,0.072,0.7589,0.15,0.4438,0.02,1.2819,0.134,1.3747,0.227,0.8018,0.131,0.386,0.027,2.3662,0.072,10.1385,1.28,giro_empresa_d9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002000800320127727,0.0,0.0,0.0,0.0004928249636970694,0.0,-0.00011022755441558729,0.0,0.027246479513573396,0.0,-0.0455839691339861,0.0,0.031816499203123016,0.0,-0.00021912239174914916,0.0,0.002553494296570813,0.0,0.001465841975040627,0.0,-1.8262122480905418e-08,0.0
0.4054,0.038,0.0294,0.013,0.0073,0.007,0.0747,0.007,0.2501,0.023,0.077,0.284,2.3554,0.276,-0.0153,1.398,0.6551,0.073,1.5806,1.221,0.0,0.0,1.0164,0.345,0.4338,0.074,2.355,0.276,0.0,0.0,giro_empresa_d10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2040270204692902e-05,0.0,-4.655237101758303e-05,0.0,0.0012202611722447188,0.0,0.0008261025186584448,0.0,-1.1102230246251565e-16,0.0,0.002527762166597003,0.0,0.0014653933125966523,0.0,0.0017105259712079102,0.0,-1.865174681370263e-14,0.0
