reclutamiento,giro_empresa_d2,giro_empresa_d3,giro_empresa_d4,giro_empresa_d5,giro_empresa_d6,giro_empresa_d7,giro_empresa_d8,giro_empresa_d9,giro_empresa_d10,giro_empresa_d11,giro_empresa_d12,giro_empresa_d13,giro_empresa_d14,giro_empresa_d15,giro_empresa_d16,giro_empresa_d17,giro_empresa_d18,giro_empresa_d19,giro_empresa_d20,giro_empresa_d21,giro_empresa_d22,giro_empresa_d23,giro_empresa_d24,trabajador_base,gen,tipo_jornada_d2,tipo_jornada_d3,tipo_jornada_d4,reinst,indem,sal_caidos,prima_antig,prima_vac,hextra,rec20,prima_dom,desc_sem,desc_ob,sarimssinf,utilidades,monto_recsueldo,nulidad,vac,ag,codem,horas_extra,antiguedad,salario_diario,horas_sem,c_antiguedad,c_indem,c_prima_antig,c_rec20,c_ag,c_vac,c_hextra,c_prima_vac,c_prima_dom,c_desc_sem,c_desc_ob,c_utilidades,c_recsueldo,c_total,min_indem,min_prima_antig,min_ag,min_vac,min_prima_vac,min_ley,c_sal_caidos,prop_hextra,modo_termino,liq_total,liq_total_tope,liq_total_pos,duracion
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1,4989.0601,1,1,1,0,1,8.8389997,401.06,60,8.8400002,36095.398,12196,0,3200.55,2582.1399,288288,645.53003,25355,0,0,15000,4989.0601,388351.69,36095.398,12196,3200.55,2582.1399,645.53003,54719.621,152763.75,.74233747,1,40000,40000,1,.15000001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,699.98999,1,1,1,0,1,.289,233.33,60,.28999999,20999.699,400.48999,0,1016.42,406.57001,13781.05,101.64,0,0,0,8500,699.98999,45905.871,20999.699,400.48999,1016.42,406.57001,101.64,22924.82,86705.43,.30020234,2,0,0,0,.059999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,,0,1,1,0,1,.37799999,310,42,.38,27900,322.19,2378.0801,402.73999,161.10001,10500,40.27,0,0,0,0,0,41704.379,27900,322.19,402.73999,161.10001,40.27,28826.301,123101,.25177211,1,5000,5000,1,.28999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,,0,1,1,0,0,3.5940001,214.28,48,3.5999999,19285.199,4968.3198,0,11579.93,6685.54,0,1671.38,0,0,0,0,0,44190.371,19285.199,4968.3198,3038.0801,1542.8199,385.70001,29220.119,81876.391,0,4,0,0,0,.16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,558.56,1,1,1,0,1,8.625,139.64,56,8.6400003,12567.6,11277.77,0,1587.73,960.09003,69324.711,240.02,0,0,0,0,558.56,96516.477,12567.6,11277.77,1587.73,960.09003,240.02,26633.211,52853.738,.7182681,1,20000,20000,1,.12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,,0,1,1,0,0,.52200001,82.12,50,.52999997,7390.7998,0,0,623.17999,249.27,0,62.32,0,0,0,0,0,8325.5703,7390.7998,498.54001,623.17999,249.27,62.32,8824.1104,47416.09,0,3,0,0,0,1.9400001
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,0,1,0,0,1,5.8499999,200,84,5.8499999,18000,8070.2202,0,0,2378.0801,667187.5,594.52002,0,0,0,0,0,696230.31,18000,8070.2202,2810.96,2378.0801,594.52002,31853.779,84220,.95828563,1,10000,10000,1,.50999999
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,12000,1,1,1,0,1,.35800001,200,72,.36000001,18000,498.72,0,1084.9301,433.97,23625,108.49,900,7200,1012.6,0,12000,64863.719,18000,498.72,1084.9301,433.97,108.49,20126.119,109600,.36422518,3,0,0,0,1.67
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,800,0,1,1,0,1,4.2080002,142.85,72,4.2199998,12856.5,5814.6401,0,1814.09,2141.6799,234642.86,535.41998,0,0,0,0,800,258605.19,12856.5,5814.6401,1814.09,427.39999,106.85,21019.471,58268.52,.90734011,1,8000,8000,1,.38999999
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,,0,1,1,0,1,.34400001,271.42,78,.34999999,24427.801,479.82999,0,1416.63,566.65002,65957.141,141.66,0,0,0,0,0,92989.719,24427.801,479.82999,1416.63,566.65002,141.66,27032.58,108350.86,.70929497,1,7000,7000,1,.31
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,1,,1,1,1,0,1,21.739,260,112,21.76,23400,0,0,84859.727,86035.07,2422784,21508.77,0,0,0,0,0,2638587.5,23400,31238.82,32.049999,3889.3201,972.33002,59532.52,140920,.91821247,2,0,0,0,1.62
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,25000,0,1,1,1,1,2.8889999,1991.73,75,2.8900001,179255.7,3989.77,115247.5,2219.8701,1358.6801,270370.41,339.67001,0,45777,6180.52,0,25000,649739.13,179255.7,3989.77,2219.8701,1358.6801,339.67001,187163.69,748492.13,.41612148,2,0,0,0,.1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,25000,0,1,1,1,1,2.892,1991.73,75,2.9000001,179255.7,3993.55,115356.64,2219.8701,1362.86,272172.88,340.70999,0,46082.18,6186.3701,0,25000,651970.75,179255.7,3993.55,2219.8701,1362.86,340.70999,187172.69,748492.13,.41746178,2,0,0,0,.1
