"","CAPTURISTA","OBSERVACIONES","FECHA LISTA","NUM LISTA","HORARIO AUDIENCIA","EXPEDIENTE","ANIO","uno","ESTADO PROCESAL POST-AUDIENCIA","FECHA SIGUIENTE AUDIENCIA","EJECUTORIA","NOTIFICACION","P_ACTOR","P_R.ACTOR","P_DEMANDADO","P_R.DEMANDADO","E_ACTOR","E_R.ACTOR","E_DEMANDADO","E_R.DEMANDADO","TRATAMIENTO QUE LES TOCO","TRATAMIENTO EXTRA","SE LLEVO TRATAMIENTO","SE CONCILIO?","CANTIDAD DE CONVENIO","CUANTO PAGARON HOY?","SE DESISTIÓ?","CANTIDAD DE DESISTIMIENTO","OBSERVACIONES2","id_exp_anio","max_fecha1","max_fecha2","tuvo_tratamiento","c1_se_concilio","c1_fecha_convenio","c1_fecha pago_convenio","c1_faltan_pagos_convenio","c1_cantidad_total_pagada_convenio","c1_convenio_insubsistente","c1_desistimiento","c1_estatus_concluido","c2_se_concilio","c2_fecha_convenio","c2_fecha pago_convenio","c2_faltan_pagos_convenio","c2_cantidad_total_pagada_convenio","c2_convenio_insubsistente","c2_desistimiento","c2_estatus_concluido"
"1","ALMA",,2016-03-01,1,1899-12-31 09:00:00,510,2006,"SI","3","03/03/2016",0,"1,2",,1,,,,,,,0,,0,0,,,,,,"510/2006",0,0,0,,,,,,,,,,,,,,,,
"2","ALMA",,2016-03-01,2,1899-12-31 09:00:00,1298,2008,"AUD","3","02/03/2016",0,"2",,1,,1,,,,,0,,0,0,,,,,,"1298/2008",0,0,0,,,,,,,,,,,,,,,,
"3","ALMA",,2016-03-01,3,1899-12-31 09:00:00,1355,2010,"O/F",,,,,,,,,,,,,0,,0,0,,,,,,"1355/2010",1,0,0,"0",,,,,,"0","0",,,,,,,,
"4","ALMA",,2016-03-01,4,1899-12-31 09:00:00,1467,2011,"AUD",,,,,,,,,,,,,0,,0,0,,,,,,"1467/2011",0,0,0,,,,,,,,,,,,,,,,
"5","ALMA",,2016-03-01,5,1899-12-31 09:00:00,593,2012,"NST","3","18/08/2016",0,"2",,1,,,,,,,0,,0,0,,,,,,"593/2012",1,0,0,"0",,,,,,"0","0",,,,,,,,
"6","ALMA",,2016-03-01,6,1899-12-31 09:00:00,1188,2013,"NST","3","31/08/2016",,,,,,,,,,,0,,0,0,,,,,,"1188/2013",0,0,0,,,,,,,,,,,,,,,,
"7","ALMA",,2016-03-01,7,1899-12-31 09:00:00,2114,2013,"N/T  A/G",,,,,,,,,,,,,0,,0,0,,,,,,"2114/2013",1,0,0,"NO HAY ESCANEO DISPONIBLE",,,,,,,,,,,,,,,
"8","ALMA",,2016-03-01,8,1899-12-31 09:00:00,137,2014,"O/F",,,,,,,,,,,,,0,,0,0,,,,,,"137/2014",0,0,0,,,,,,,,,,,,,,,,
"9","ALMA",,2016-03-01,9,1899-12-31 09:00:00,610,2014,"N/T","3","31/08/2016",0,"1.2",,1,,1,,,,,0,,0,0,,,,,,"610/2014",0,0,0,,,,,,,,,,,,,,,,
"10","ALMA",,2016-03-01,10,1899-12-31 09:00:00,753,2014,"N/T","3","18/08/2016",0,"2",,1,,1,,,,,0,,0,0,,,,,,"753/2014",0,0,0,,,,,,,,,,,,,,,,
"11","ALMA",,2016-03-01,11,1899-12-31 09:00:00,933,2014,"SI",,,,,,,,,,,,,2,,0,0,,,,,,"933/2014",0,1,1,"1","19/04/2016","03/05/2016","0","20500","0","0","1",,,,,,,,
"12","ALMA",,2016-03-01,12,1899-12-31 09:00:00,1183,2014,"SI","8",,0,"4",,1,,1,,,,,1,,0,0,,,,,,"1183/2014",1,1,1,"0",,,"0","0","0","0","0",,,,,,,,
"13","ALMA",,2016-03-01,13,1899-12-31 09:30:00,483,2013,"SI","3","07/06/2016",0,"2",,1,,,,,,,2,,0,0,,,,,,"483/2013",0,0,1,,,,,,,,,,,,,,,,
"14","ALMA",,2016-03-01,14,1899-12-31 09:30:00,1010,2014,"SI","3","09/03/2016",0,"2",1,1,,1,,,,,1,,0,0,,,,,,"1010/2014",0,1,1,"0",,,"0","0","0","1","1",,,,,,,,
"15","ALMA",,2016-03-01,15,1899-12-31 10:00:00,1173,2010,"SI","3","09/06/2016",0,"2",,1,,,,,,,1,,0,0,,,,,,"1173/2010",1,1,1,"0",,,"0","0","0","0","0",,,,,,,,
"16","ALMA",,2016-03-01,16,1899-12-31 10:00:00,1394,2012,"FED","1,2","30/06/2016",0,"1",,1,,1,,,,,0,,0,0,,,,,,"1394/2012",1,0,0,"0",,,,,,"0","0",,,,,,,,
"17","ALMA",,2016-03-01,17,1899-12-31 10:00:00,1390,2011,"FED","1,2","13/07/2016",0,"1,3",,1,,,,,,,0,,0,0,,,,,,"1390/2011",1,0,0,"0",,,,,,"0","0",,,,,,,,
"18","ALMA",,2016-03-01,18,1899-12-31 10:00:00,1595,2011,"SI","1,2","30/06/2016",0,"4",,1,,1,,,,,3,,0,0,,,,,,"1595/2011",1,1,1,"0",,,"0","0","0","0","0",,,,,,,,
"19","ALMA",,2016-03-01,19,1899-12-31 10:00:00,47,2012,"SI","1,2","13/07/2016",0,"2",,1,,,,,,,1,,0,0,,,,,,"47/2012",1,1,1,"0",,,"0","0","0","0","0",,,,,,,,
"20","ALMA",,2016-03-01,20,1899-12-31 10:00:00,351,2012,"NSD",,,,,,,,,,,,,0,,0,0,,,,,,"351/2012",1,0,0,"0",,,,,,"0","0",,,,,,,,
"21","ALMA",,2016-03-01,21,1899-12-31 10:00:00,661,2012,"FED","1,2","30/06/2016",0,"1,2",1,1,,,,,,,0,,0,0,,,,,,"661/2012",1,0,0,"0",,,,,,"1","1",,,,,,,,
"22","ALMA",,2016-03-01,22,1899-12-31 10:00:00,297,2013,"SI",".",,0,"2",,1,,,,,,,2,,0,0,,,,,,"297/2013",1,1,1,"0",,,"0","0","0","0","0",,,,,,,,
"23","ALMA",,2016-03-01,23,1899-12-31 10:00:00,1204,2013,"N/T A/G",,,,,,,,,,,,,0,,0,0,,,,,,"1204/2013",1,0,0,"0",,,,,,"0","0",,,,,,,,
"24","ALMA",,2016-03-01,24,1899-12-31 10:00:00,1626,2014,"SI","2","13/07/2016",0,"2",,1,,1,,,,,2,,0,0,,,,,,"1626/2014",1,1,1,"0",,,"0","0","0","0","0",,,,,,,,
"25","ALMA",,2016-03-01,25,1899-12-31 10:00:00,653,2015,"FED","1","29/06/2016",0,"2",,1,,,,,,,0,,0,0,,,,,,"653/2015",1,0,0,"0",,,,,,"0","0",,,,,,,,
"26","ALMA",,2016-03-01,26,1899-12-31 10:00:00,1267,2015,"SI","2","17/08/2016",0,"4",,1,,1,,,,,3,,0,0,,,,,,"1267/2015",1,1,1,"1","03/05/2016","03/05/2016","0","28287.84","0","0","0",,,,,,,,
"27","ALMA",,2016-03-01,27,1899-12-31 10:00:00,1911,2015,"FED","1","31/08/2016",0,"1,2",,1,,,,,,,0,,0,0,,,,,,"1911/2015",1,0,0,"0",,,,,,"0","0",,,,,,,,
"28","ALMA",,2016-03-01,28,1899-12-31 10:30:00,163,2011,"SI","2","22/08/2016",0,"4",,1,,2,,,,,1,,0,0,,,,,,"163/2011",1,1,1,"0",,,"0","0","0","0","0",,,,,,,,
"29","ALMA",,2016-03-01,29,1899-12-31 10:30:00,1735,2015,"SI",,,,,,,,,,,,,3,,0,0,,,,,,"1735/2015",0,0,1,,,,,,,,,,,,,,,,
"30","ALMA",,2016-03-01,30,1899-12-31 11:00:00,241,2004,"SI","3","05/07/2016",0,"4",,1,,1,,,,,3,,0,0,,,,,,"241/2004",0,1,1,"0",,,"0","0","0","0","0",,,,,,,,
