folio,A_fecha,A_1_1,A_1_2,A_2_1_1,A_2_1_2,A_2_1_3,A_2_1_4,A_2_1_5,A_2_1_6,A_2_1_7,A_2_1_O,A_3_1,A_4_1_1,A_4_1_2,A_4_1_3,A_4_1_4,A_4_1_O,A_4_21,A_4_22,A_4_23,A_4_24,A_4_25,A_4_26,A_4_27,A_4_2_1,A_4_2_2,A_4_2_3,A_4_2_4,A_4_2_5,A_4_2_O,A_4_2_6,A_4_3,A_4_3_O,A_4_4,A_4_4_O,A_4_5,A_4_6,A_4_7_1,A_4_7_2,A_4_7_3,A_4_7_4,A_4_7_5,A_4_7_O,A_5_1,A_5_2,A_5_3,A_5_4,A_5_5,A_5_6,A_5_7,A_5_8,A_5_9,A_6_1,A_6_2,A_6_3,A_6_4,A_7_1,A_7_1_O,A_7_2_1,A_7_2_2,A_7_2_3,A_7_2_4,A_7_2_5,A_7_2_6,A_7_2_7,A_7_2_8,A_7_2_9,A_7_2_O,A_7_3,A_7_3_O,A_8_1,A_8_2,A_9_1,A_9_2,A_9_3,A_9_4,A_10_1_1,A_10_1_2,A_10_1_3,A_10_2_1,A_10_2_2,A_10_2_3,A_10_2_4,A_10_2_5,A_10_2_6,A_10_2_7,A_10_2_8
1464-2012,7-Mar,2016,16-Apr,1950,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,11 a 50 empleados,Porque no se permite demandar sin un abogado,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Ya había trabajado con él antes,,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",No,,,,,,,80,80,10000,20000,15000,4.0833335,5.0833335,5,15000,Muy bien,Nada común,Nada,15000,Sí Sabe,110,Indemnización Constitucional,,,,,,,,,,Sí,1,Nada de acuerdo,Mucho,Sí,No,,Nada de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
2187-2015,4-Mar,2016,24-Feb,1975,Secundaria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Ya había trabajado con él antes,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,50,9999,9999,9999,1111,9999,9999,9999,Nada bien,Muy común,Mucho,50000,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Totalmente de acuerdo,Mucho,No,Sí,20,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0701-2015,9-Mar,2016,8-Jun,1974,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,Sí sabe,350000,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,350000,400000,375000,1,2,1,350000,Medianamente bien,Muy común,Mucho,350000,Sí Sabe,330,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Algo de acuerdo,Mucho,Sí,No,,Algo de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
2104-2015,11-Mar,2016,1-Aug,1982,Preparatoria,Indemnización por despido injustificado,Pago de finiquito,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,Sí,Otra,,,,,Se lo reasignaron,100,30,2000,40000,35000,0.5,1.0833334,1.0833334,32000,Nada bien,Muy común,Mucho,50000,No Sabe,,Indemnización Constitucional,Aguinaldo,Otro,,,,,,,Caja de ahorro,No,,Poco de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
0067-2016,11-Mar,2016,18-Nov,1960,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Ningun pago,,,,,,,,,,,,,,No sabe,,Me lo asignaron en la Procuraduría de la Defensa del Trabajador,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,100,80000,140000,140000,1.8333334,2,1.9166666,140000,Nada bien,Muy común,Nada,140000,Sí Sabe,90,Indemnización Constitucional,Aguinaldo,Otro,,,,,,,Despensa,No,,Nada de acuerdo,Mucho,No,Sí,50,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
0180-2014,8-Mar,2016,28-Feb,1957,Primaria,Pago de prestaciones,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,35,,,,,,No sabe,,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,70,50,100000,350000,200000,2,4,3,150000,No tan bien,Medianamente común,Medianamente,150000,No Sabe,,Indemnización Constitucional,Seguro de gastos médicos mayores,Prima por trabajar los sábados,Aguinaldo,,,,,,,No,,Nada de acuerdo,Mucho,Sí,No,,Totalmente de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$30,000 EN UN MES",
1239-2017,7-Mar,2016,7-May,1962,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,100000,100000,100000,2,3,2.5,50000,No tan bien,Muy común,Medianamente,50000,No Sabe,,Indemnización Constitucional,Aguinaldo,,,,,,,,,No,,Poco de acuerdo,Poco ,Sí,Sí,50,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0011-2016,4-Mar,2016,21-Jun,1979,Preparatoria,Indemnización por despido injustificado,Pago de prestaciones,,,,,,,11 a 50 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,30,,,,,,No sabe,,Me lo recomendó un familiar o amigo,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,50,75,10000,20000,15000,0.33333334,1.5,1,5000,Nada bien,Muy común,Mucho,10000,No Sabe,,Indemnización Constitucional,,,,,,,,,,Sí,1,Algo de acuerdo,Mucho,Sí,No,,Poco de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
2063-2013,7-Mar,2016,4-Apr,1958,Más que preparatoria,Indemnización por despido injustificado,,,,,,,,1 a 10 empleados,Porque no tengo los conocimientos para demandar,,,,,Un solo pago SOLO si gano el juicio,,,,,,,,,,,1,,,No sabe,,Me lo recomendaron en la Junta,,Mi abogado y yo decidiríamos juntos si aceptar o no la oferta,No,,,,,,,100,50,100000,3000000,120000,1,4,3,100000,No tan bien,Muy común,Mucho,300000,No Sabe,,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,,No,,Nada de acuerdo,Medianamente,Sí,Sí,50,Totalmente de acuerdo,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
0941-2012,7-Mar,2016,10-Oct,1961,Preparatoria,Indemnización por despido injustificado,,,,,,,,Más de 100 empleados,Porque no tengo los conocimientos para demandar,,,,,Porcentaje(%) de lo que obtengo en el juicio,,,,,,,,25,,,,,,No sabe,,Otra,Lo contacte en un juzgado,"Yo decidiría si aceptar o no la oferta, sin consultar a mi abogado",Sí,El desempeño de mi abogado era deficiente,,,,,,80,40,10000,350000,200000,1,2,1.5,120000,No tan bien,Muy común,Mucho,300000,Sí Sabe,90,Indemnización Constitucional,Horas extraordinarias,Prima por trabajar los sábados,Aguinaldo,,,,,,,Sí,1,Algo de acuerdo,Medianamente,No,Sí,70,Algo de acuerdo,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
