folio,RD_fecha,RD1_1,RD1_2,RD1_3,RD1_4,RD1_5,RD1_6,RD1_7,RD2_1_1,RD2_1_2,RD2_1_3,RD2_1_4,RD2_1_5,RD2_1_6,RD2_1_7,RD3_1,RD4_1_1,RD4_1_2,RD4_1_3,RD4_1_4,RD4_1_5,RD4_1_0RD4_1_1,RD4_1_0RD4_1_2,RD4_1_0RD4_1_3,RD4_2,RD4_3,RD5_1_1,RD5_2_1,RD5_5,RD5_3,RD5_4,RD5_8,RD5_6,RD5_7,RD5_9,RD5_10,RD6_1_1,RD6_1_2,RD6_1_3,RD6_2_1,RD6_2_2,RD6_2_3,RD6_2_4,RD6_2_5,RD6_2_6,RD6_2_7,RD6_2_8
1458-2010,2-Mar,2016,24-Dec,1964,Principalmente o completamente al litigio laboral,Demandados (negocios) principalmente o completamente.,Si,1993,Más de 100,Más de 30,Negamos la relación de trabajo,El trabajador renunció su puesto,El trabajador abandonó el puesto de trabajo,Ya liquidamos al trabajador conforme a Ley,Ofrecemos reinstalar al trabajador,El despido fue justificado,,51 a 100,Pago mensual (iguala),,,,,,,5000,Fue recomendado conmigo por un colega o conocido.,Mi representado y yo decidiríamos juntos,50,100,100000,10000,100000,3.6666667,2,4,5000,5000,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
1951-2013,3-Mar,2016,2-Oct,1984,Principalmente o completamente al litigio laboral,Actores o demandados.,Si,2006,Más de 100,Entre 10 y 30,Ofrecemos reinstalar al trabajador,,,,,,,No sabe,Soy empleado de la empresa,,,,,,,,A través del despacho en el que laboro,Mi representado y yo decidiríamos juntos,50,50,40,40,70,3.5,1,5.4166665,10000,10000,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1415-2015,3-Mar,2016,28-Aug,1987,Principalmente o completamente al litigio laboral,Actores o demandados.,Si,2013,Más de 100,Más de 30,El trabajador renunció su puesto,,,,,,,11 a 50,Pago mensual (iguala),,,,,,,15000,A través del despacho en el que laboro,"Mi representado decidiría si aceptar o no la oferta, sin consultarme",90,90,50000,20000,100000,3.5,1.5,3.8333333,6000,5000,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
0616-2015,3-Mar,2016,1-Oct,1981,Principalmente o completamente al litigio laboral,Actores o demandados.,Si,2015,Más de 100,Más de 30,Negamos la relación de trabajo,El trabajador renunció su puesto,El trabajador abandonó el puesto de trabajo,Ya liquidamos al trabajador conforme a Ley,Ofrecemos reinstalar al trabajador,El despido fue justificado,,11 a 50,Soy empleado de la empresa,,,,,,,,A través del despacho en el que laboro,"Mi representado decidiría si aceptar o no la oferta, sin consultarme",50,50,0,0,0,2.5,1.5,3.4166667,0,0,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$20,000 EN UN MES",,
2099-2012,2-Mar,2016,12-Mar,1993,"Principalmente al litigio, pero no laboral",Demandados (negocios) principalmente o completamente.,No,,Entre 10 y 50,Entre 10 y 30,Ofrecemos reinstalar al trabajador,,,,,,,11 a 50,Pago por juicio,,,,,0,,,A través del despacho en el que laboro,Mi representado y yo decidiríamos juntos,100,50,0,0,0,1.25,0.66666669,1.6666666,0,0,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
1141-2014,2-Mar,2016,9-Mar,1987,Principalmente o completamente al litigio laboral,Demandados (negocios) principalmente o completamente.,No,,Entre 50 y 100,Entre 10 y 30,El trabajador renunció su puesto,,,,,,,No sabe,Otro,,,,,,,,A través del despacho en el que laboro,Mi representado y yo decidiríamos juntos,95,20,30000,2500,35000,2.5,1.6666666,3.75,7000,4000,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1997-2014,3-Mar,2016,29-Dec,1961,"Principalmente a otra actividad, solamente litigo algunos asuntos.",Demandados (negocios) principalmente o completamente.,Si,1981,Menos de 10,Menos de 5,El trabajador abandonó el puesto de trabajo,,,,,,,Más de 100,Pago por juicio,,,,,1,,,Soy su empleado.,Mi representado y yo decidiríamos juntos,80,20,15000,10000,20000,1.6666666,0.91666669,1.9166666,15000,10000,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$15,000 EN UN MES",,,
1602-2010,2-Mar,2016,28-Jun,1978,Principalmente o completamente al litigio laboral,Demandados (negocios) principalmente o completamente.,Si,2009,Entre 50 y 100,Entre 10 y 30,El trabajador renunció su puesto,,,,,,,Más de 100,Soy empleado de la empresa,,,,,,,,Soy su empleado.,"Mi representado decidiría si aceptar o no la oferta, sin consultarme",90,10,700000,100000,700000,1.9166666,1.8333334,2,0,0,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA","$10,000 MAÑANA",
0166-2012,2-Mar,2016,27-Aug,1990,Principalmente o completamente al litigio laboral,Demandados (negocios) principalmente o completamente.,No,,Más de 100,Más de 30,El trabajador renunció su puesto,,,,,,,Más de 100,Pago mensual (iguala),,,,,,,20000,A través del despacho en el que laboro,Mi representado y yo decidiríamos juntos,50,50,200000,10000,300000,8.833333,2.4166667,12.333333,10000,20000,"$50,000 ","$50,000 ","$50,000 ","$10,000 MAÑANA","$12,000 EN UN MES",,,,
1374-2015,2-Mar,2016,12-Mar,1989,Principalmente o completamente al litigio laboral,Actores o demandados.,Si,2011,Entre 10 y 50,Más de 30,El trabajador renunció su puesto,,,,,,,51 a 100,Pago mensual (iguala),,,,,,,5000,A través del despacho en el que laboro,Mi representado y yo decidiríamos juntos,70,50,100000,30000,100000,2.9166667,2.6666667,3.9166667,10000,0,"Tómbola de $100,000 con 50% de probabilidad y $0 con 50% de probabliidad","Tómbola de $100,000 con 60% de probabilidad y $0 con 40% de probabliidad","Tómbola de $100,000 con 70% de probabilidad y $0 con 30% de probabliidad","$10,000 EN UN MES",,,,,
