
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="win",="win",="liq_total",="liq_total",="c_total",="c_total",="won_asked",="won_asked"

="abogado_pub",="1.65",="-1.45",="0.0011",="-0.28",="-0.62***",="-0.050",="0.055**",="-0.075***"
="",="(2.33)",="(2.68)",="(0.22)",="(0.25)",="(0.033)",="(0.031)",="(0.024)",="(0.027)"

="gen",="3.74***",="3.75***",="0.32**",="0.32**",="-0.042*",="-0.049***",="-0.035**",="-0.033**"
="",="(1.39)",="(1.39)",="(0.14)",="(0.14)",="(0.021)",="(0.017)",="(0.014)",="(0.014)"

="trabajador_base",="1.30",="1.14",="0.21",="0.19",="0.042",="0.023",="0.011",="0.0082"
="",="(2.75)",="(2.78)",="(0.29)",="(0.29)",="(0.041)",="(0.035)",="(0.029)",="(0.027)"

="c_antiguedad",="2.71***",="5.46***",="0.43***",="0.67***",="0.47***",="0.48***",="-0.011*",="-0.015**"
="",="(0.53)",="(0.78)",="(0.052)",="(0.078)",="(0.0080)",="(0.0077)",="(0.0059)",="(0.0062)"

="salario_diario",="-1.30",="4.32***",="0.24**",="0.74***",="0.95***",="0.88***",="-0.048***",="-0.033***"
="",="(0.93)",="(1.41)",="(0.096)",="(0.14)",="(0.015)",="(0.014)",="(0.0086)",="(0.0090)"

="horas_sem",="-1.70",="0.73",="-0.22",="0.029",="0.83***",="0.37***",="-0.14***",="-0.037"
="",="(2.12)",="(2.27)",="(0.21)",="(0.23)",="(0.044)",="(0.033)",="(0.022)",="(0.025)"

="top_desp",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="reinst",="",="-3.99*",="",="-0.32",="",="-0.013",="",="0.018"
="",="",="(2.27)",="",="(0.23)",="",="(0.030)",="",="(0.024)"

="indem",="",="-0.53",="",="-0.011",="",="0.0036",="",="-0.020"
="",="",="(3.18)",="",="(0.32)",="",="(0.045)",="",="(0.034)"

="sal_caidos",="",="-11.4**",="",="-1.05**",="",="-0.15*",="",="-0.0052"
="",="",="(4.98)",="",="(0.50)",="",="(0.080)",="",="(0.047)"

="prima_antig",="",="4.30*",="",="0.41*",="",="0.042",="",="-0.026"
="",="",="(2.30)",="",="(0.23)",="",="(0.030)",="",="(0.025)"

="prima_vac",="",="9.12**",="",="0.83*",="",="0.069",="",="0.021"
="",="",="(4.55)",="",="(0.47)",="",="(0.058)",="",="(0.043)"

="hextra",="",="5.59***",="",="0.45**",="",="0.91***",="",="-0.22***"
="",="",="(2.11)",="",="(0.21)",="",="(0.023)",="",="(0.022)"

="rec20",="",="6.22***",="",="0.64***",="",="0.17***",="",="-0.012"
="",="",="(2.02)",="",="(0.21)",="",="(0.027)",="",="(0.023)"

="prima_dom",="",="-0.60",="",="-0.090",="",="0.075***",="",="-0.0050"
="",="",="(1.85)",="",="(0.18)",="",="(0.022)",="",="(0.015)"

="desc_sem",="",="1.16",="",="0.11",="",="0.42***",="",="-0.049***"
="",="",="(2.13)",="",="(0.21)",="",="(0.025)",="",="(0.015)"

="desc_ob",="",="-1.49",="",="-0.19",="",="0.080***",="",="-0.013"
="",="",="(1.73)",="",="(0.17)",="",="(0.021)",="",="(0.012)"

="sarimssinf",="",="-3.97**",="",="-0.36**",="",="-0.017",="",="-0.011"
="",="",="(1.55)",="",="(0.15)",="",="(0.019)",="",="(0.015)"

="utilidades",="",="3.62**",="",="0.35**",="",="0.034*",="",="-0.014"
="",="",="(1.52)",="",="(0.15)",="",="(0.019)",="",="(0.013)"

="nulidad",="",="2.91**",="",="0.20",="",="0.024",="",="-0.016"
="",="",="(1.43)",="",="(0.14)",="",="(0.018)",="",="(0.013)"

="vac",="",="-0.87",="",="0.075",="",="0.090",="",="0.012"
="",="",="(5.42)",="",="(0.55)",="",="(0.082)",="",="(0.062)"

="ag",="",="-7.62**",="",="-0.78**",="",="-0.0098",="",="-0.055"
="",="",="(3.88)",="",="(0.39)",="",="(0.059)",="",="(0.057)"

="codem",="",="-4.28*",="",="-0.46**",="",="0.044",="",="-0.067***"
="",="",="(2.24)",="",="(0.22)",="",="(0.027)",="",="(0.016)"

="c_total",="",="-6.10***",="",="-0.55***",="",="",="",=""
="",="",="(1.18)",="",="(0.12)",="",="",="",=""

="_cons",="75.6***",="107.2***",="5.48***",="8.17***",="2.76***",="4.09***",="1.06***",="0.83***"
="",="(9.67)",="(12.5)",="(0.97)",="(1.25)",="(0.19)",="(0.17)",="(0.10)",="(0.12)"

="N",="4866",="4848",="4866",="4848",="4866",="4848",="4866",="4848"
="R-squared",="0.020",="0.035",="0.036",="0.049",="0.74",="0.84",="0.043",="0.086"
="DepVarMean",="65.3",="",="6.40",="",="11.7",="",="0.21",=""
="DummyGiro",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
