
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="win",="win",="liq_total",="liq_total",="c_total",="c_total",="won_asked",="won_asked"

="abogado_pub",="-0.11",="-8.45",="-0.16",="-1.22",="-0.44***",="0.062",="0.039",="-0.31"
="",="(7.57)",="(8.85)",="(0.80)",="(0.95)",="(0.12)",="(0.11)",="(0.29)",="(0.29)"

="gen",="0.59",="-1.44",="0.060",="-0.14",="-0.025",="-0.0085",="-0.10",="-0.15"
="",="(4.48)",="(4.65)",="(0.51)",="(0.53)",="(0.074)",="(0.063)",="(0.12)",="(0.12)"

="trabajador_base",="2.59",="0.86",="0.14",="0.019",="-0.18",="-0.22*",="0.17",="0.14"
="",="(9.02)",="(8.83)",="(1.04)",="(1.03)",="(0.12)",="(0.11)",="(0.27)",="(0.25)"

="c_antiguedad",="3.96***",="5.56***",="0.45***",="0.64***",="0.44***",="0.44***",="-0.020",="-0.043"
="",="(1.37)",="(2.09)",="(0.16)",="(0.25)",="(0.026)",="(0.023)",="(0.043)",="(0.051)"

="salario_diario",="2.37",="6.05",="0.39",="0.82*",="1.01***",="0.96***",="-0.065",="-0.048"
="",="(3.08)",="(4.27)",="(0.36)",="(0.49)",="(0.051)",="(0.051)",="(0.054)",="(0.056)"

="horas_sem",="2.15",="5.68",="0.28",="0.78",="0.92***",="0.42***",="-0.18",="0.057"
="",="(5.82)",="(6.54)",="(0.64)",="(0.73)",="(0.16)",="(0.13)",="(0.18)",="(0.22)"

="top_desp",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="reinst",="",="4.78",="",="0.65",="",="-0.11",="",="0.17"
="",="",="(8.54)",="",="(1.01)",="",="(0.12)",="",="(0.24)"

="indem",="",="-2.06",="",="0.24",="",="-0.17",="",="-0.0077"
="",="",="(10.8)",="",="(1.21)",="",="(0.17)",="",="(0.27)"

="sal_caidos",="",="3.66",="",="0.15",="",="-0.44",="",="0.053"
="",="",="(12.7)",="",="(1.44)",="",="(0.32)",="",="(0.22)"

="prima_antig",="",="0.20",="",="0.21",="",="0.17",="",="0.075"
="",="",="(6.64)",="",="(0.74)",="",="(0.11)",="",="(0.14)"

="prima_vac",="",="23.7*",="",="2.41",="",="-0.020",="",="0.18"
="",="",="(13.7)",="",="(1.52)",="",="(0.17)",="",="(0.30)"

="hextra",="",="-0.77",="",="-0.22",="",="0.82***",="",="-0.49***"
="",="",="(6.58)",="",="(0.76)",="",="(0.094)",="",="(0.18)"

="rec20",="",="5.03",="",="0.48",="",="0.29***",="",="-0.042"
="",="",="(6.34)",="",="(0.73)",="",="(0.10)",="",="(0.23)"

="prima_dom",="",="11.1*",="",="1.15*",="",="0.055",="",="0.080"
="",="",="(6.01)",="",="(0.69)",="",="(0.084)",="",="(0.14)"

="desc_sem",="",="-3.58",="",="-0.51",="",="0.37***",="",="-0.23"
="",="",="(6.79)",="",="(0.77)",="",="(0.084)",="",="(0.14)"

="desc_ob",="",="1.03",="",="-0.024",="",="0.044",="",="0.030"
="",="",="(5.99)",="",="(0.68)",="",="(0.084)",="",="(0.12)"

="sarimssinf",="",="-5.48",="",="-0.48",="",="-0.0085",="",="-0.11"
="",="",="(4.92)",="",="(0.57)",="",="(0.073)",="",="(0.12)"

="utilidades",="",="-8.01*",="",="-0.87",="",="0.15**",="",="0.031"
="",="",="(4.76)",="",="(0.55)",="",="(0.073)",="",="(0.11)"

="nulidad",="",="5.17",="",="0.60",="",="-0.048",="",="0.14"
="",="",="(4.69)",="",="(0.54)",="",="(0.069)",="",="(0.12)"

="vac",="",="-29.1*",="",="-2.64*",="",="-0.43",="",="-0.27"
="",="",="(14.8)",="",="(1.48)",="",="(0.29)",="",="(0.35)"

="ag",="",="6.48",="",="0.23",="",="0.37**",="",="-0.048"
="",="",="(12.5)",="",="(1.49)",="",="(0.17)",="",="(0.36)"

="codem",="",="0.76",="",="-0.024",="",="-0.036",="",="-0.15"
="",="",="(6.18)",="",="(0.71)",="",="(0.095)",="",="(0.11)"

="c_total",="",="-4.81",="",="-0.55",="",="",="",=""
="",="",="(3.53)",="",="(0.41)",="",="",="",=""

="_cons",="-0.29",="19.1",="-0.87",="0.82",="2.13***",="4.11***",="1.48**",="0.86"
="",="(26.7)",="(36.0)",="(2.96)",="(4.03)",="(0.70)",="(0.68)",="(0.75)",="(0.83)"

="N",="417",="416",="416",="415",="417",="416",="416",="415"
="R-squared",="0.13",="0.17",="0.13",="0.17",="0.78",="0.85",="0.056",="0.100"
="DepVarMean",="23.8",="",="2.67",="",="11.7",="",="0.34",=""
="DummyGiro",="",="",="",="",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
