
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)"
="",="trabajador_base",="c_antiguedad",="abogado_pub",="indem",="salario_diario",="prima_antig",="min_ley"

="1.time_hr",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.time_hr",="0.0408",="-0.346",="0.0145",="-0.0666*",="6.814",="-0.0151",="8909.1"
="",="(0.0366)",="(0.623)",="(0.0228)",="(0.0391)",="(91.44)",="(0.0428)",="(10278.3)"

="3.time_hr",="-0.00883",="-0.648",="0.0374*",="-0.0600**",="81.40",="-0.0328",="11390.7"
="",="(0.0238)",="(0.445)",="(0.0204)",="(0.0298)",="(92.32)",="(0.0318)",="(9100.5)"

="4.time_hr",="-0.0366",="-0.596",="0.0325",="-0.00204",="-13.54",="0.0265",="1243.9"
="",="(0.0236)",="(0.498)",="(0.0244)",="(0.0370)",="(88.12)",="(0.0342)",="(8802.9)"

="5.time_hr",="0.00872",="-0.382",="0.0235",="-0.0613*",="146.9",="-0.0439",="16760.3"
="",="(0.0266)",="(0.491)",="(0.0214)",="(0.0363)",="(109.7)",="(0.0367)",="(10639.8)"

="6.time_hr",="-0.0359",="-0.759",="0.00113",="-0.0702",="-36.98",="-0.0501",="-3711.1"
="",="(0.0274)",="(0.507)",="(0.0223)",="(0.0453)",="(118.4)",="(0.0479)",="(11996.4)"

="7.time_hr",="-0.0212",="-0.531",="0.0522**",="-0.0637",="-61.97",="-0.0163",="-4735.1"
="",="(0.0267)",="(0.582)",="(0.0249)",="(0.0389)",="(75.50)",="(0.0369)",="(7210.8)"

="8.time_hr",="-0.0984***",="-0.0313",="-0.0551***",="-0.158",="-164.6",="-0.219*",="-12849.4"
="",="(0.0192)",="(1.148)",="(0.0145)",="(0.139)",="(149.1)",="(0.122)",="(14470.0)"

="_cons",="0.0984***",="4.920***",="0.0551***",="0.858***",="627.0***",="0.819***",="67822.2***"
="",="(0.0192)",="(0.358)",="(0.0145)",="(0.0229)",="(57.20)",="(0.0247)",="(5456.1)"

="N",="1635",="1585",="1635",="1634",="1613",="1635",="1617"
="R-sq",="0.007",="0.002",="0.005",="0.006",="0.004",="0.005",="0.004"
="F p-value",="1.04e-28",="0.741",="1.06e-18",="0.240",="0.455",="0.123",="0.323"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
