
="",="(1)",="(2)",="(3)",="(4)",="(5)"
="",="gen",="trabajador_base",="c_antiguedad",="salario_diario",="horas_sem"

="0.negative_returners",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.negative_returners",="-0.037**",="-0.0090",="-0.66***",="-1.21",="1.88***"
="",="(0.015)",="(0.0080)",="(0.16)",="(35.9)",="(0.48)"

="2.junta",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)"

="7.junta",="-0.094***",="-0.0053",="-0.60**",="37.7",="-3.35***"
="",="(0.024)",="(0.012)",="(0.25)",="(61.3)",="(0.71)"

="9.junta",="0.074***",="0.035***",="-0.53**",="100.8",="-4.82***"
="",="(0.023)",="(0.013)",="(0.23)",="(64.2)",="(0.61)"

="11.junta",="0.038*",="0.0012",="-0.31",="46.5",="-0.81"
="",="(0.023)",="(0.011)",="(0.23)",="(63.8)",="(0.61)"

="16.junta",="0.15***",="-0.0100",="0.84***",="5.42",="-11.1***"
="",="(0.024)",="(0.012)",="(0.27)",="(66.5)",="(0.78)"

="_cons",="0.46***",="0.070***",="4.72***",="459.0***",="60.8***"
="",="(0.017)",="(0.0086)",="(0.18)",="(61.7)",="(0.46)"

="N",="4503",="4492",="4470",="4484",="4425"
="R-squared",="0.023",="0.0040",="0.014",="0.0010",="0.067"
="F_stat",="22.1",="2.89",="10.5",="1.00",="53.3"
="Court dummies",="YES",="YES",="YES",="YES",="YES"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
