
="",="(1)",="(2)",="(3)",="(4)"
="",="liq_total_tope",="liq_total_tope",="comp_convenio_p2",="comp_convenio_p2"

="months",="709.9***",="",="180.0***",=""
="",="(128.5)",="",="(30.82)",=""

="min_ley",="0.170",="0.172",="0.0650",="0.0650"
="",="(0.117)",="(0.118)",="(0.0498)",="(0.0500)"

="abogado_pub",="-11082.9***",="-11267.2***",="-3643.0***",="-3792.7***"
="",="(1884.4)",="(1941.3)",="(656.5)",="(674.7)"

="gen",="-4005.3***",="-4053.4***",="-1677.1***",="-1681.5***"
="",="(1484.7)",="(1487.7)",="(354.0)",="(355.0)"

="trabajador_base",="22481.8***",="22549.6***",="5737.4***",="5690.6***"
="",="(5136.6)",="(5134.2)",="(1518.4)",="(1519.4)"

="c_antiguedad",="2548.7***",="2579.5***",="2100.5***",="2106.8***"
="",="(289.0)",="(290.0)",="(107.5)",="(107.8)"

="salario_diario",="-5.897",="-6.003",="0.453",="0.466"
="",="(14.48)",="(14.61)",="(5.930)",="(5.951)"

="horas_sem",="-115.9**",="-117.3**",="-35.78***",="-36.60***"
="",="(54.89)",="(55.25)",="(13.69)",="(13.79)"

="1.quintil_month",="",="0",="",="0"
="",="",="(.)",="",="(.)"

="2.quintil_month",="",="3453.9*",="",="1576.3***"
="",="",="(1811.6)",="",="(460.2)"

="3.quintil_month",="",="760.8",="",="1451.0**"
="",="",="(1928.7)",="",="(565.7)"

="4.quintil_month",="",="6286.8***",="",="3029.1***"
="",="",="(2195.1)",="",="(595.2)"

="5.quintil_month",="",="13375.9***",="",="3990.9***"
="",="",="(2772.8)",="",="(718.8)"

="_cons",="12986.8***",="15079.8***",="9544.0***",="9331.9***"
="",="(3797.6)",="(3866.2)",="(1031.9)",="(1076.7)"

="N",="3080",="3080",="3081",="3081"
="R-sq",="0.23",="0.23",="0.66",="0.65"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
