
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio",="seconcilio"

="1.treatment",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.treatment",="0.090**",="0.041",="0.00091",="0.080**",="0.042*",="0.014",="0.053",="0.027",="0.0022",="0.074*",="0.068**",="0.012",="0.055*",="0.043*",="0.014",="0.066*",="0.057*",="0.0033"
="",="(0.039)",="(0.027)",="(0.019)",="(0.036)",="(0.021)",="(0.020)",="(0.043)",="(0.038)",="(0.026)",="(0.038)",="(0.025)",="(0.018)",="(0.029)",="(0.023)",="(0.016)",="(0.036)",="(0.029)",="(0.019)"

="0.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.interaction",="0.049",="0.084",="0.037",="0.042",="0.047",="0.056**",="0.012",="0.017",="-0.022",="-0.0017",="0.067",="0.023",="0.092",="0.041",="-0.027",="0.039",="0.11**",="0.064*"
="",="(0.032)",="(0.060)",="(0.038)",="(0.030)",="(0.041)",="(0.027)",="(0.032)",="(0.044)",="(0.024)",="(0.034)",="(0.043)",="(0.023)",="(0.059)",="(0.11)",="(0.041)",="(0.033)",="(0.049)",="(0.035)"

="1.treatment#0.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="1.treatment#1.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.treatment#0.interaction",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

