
="",="(1)",="(2)",="(3)",="(4)"
="",="seconcilio",="convenio_2m",="convenio_5m",="convenio_m5m"

="1.treatment",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.treatment",="0.015",="0.0039",="-0.012",="-0.017"
="",="(0.016)",="(0.024)",="(0.028)",="(0.028)"

="3.treatment",="0.011",="-0.0055",="-0.039",="-0.055"
="",="(0.023)",="(0.026)",="(0.032)",="(0.039)"

="0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="1.p_actor",="0.11**",="0.091*",="0.044",="0.015"
="",="(0.043)",="(0.052)",="(0.060)",="(0.063)"

="1.treatment#0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="1.treatment#1.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.treatment#0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.treatment#1.p_actor",="0.24***",="0.25***",="0.25***",="0.21***"
="",="(0.065)",="(0.074)",="(0.080)",="(0.080)"

="3.treatment#0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="3.treatment#1.p_actor",="0.17**",="0.20**",="0.27***",="0.20**"
="",="(0.081)",="(0.086)",="(0.086)",="(0.087)"

="2.junta",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="7.junta",="-0.030",="-0.032",="-0.16***",="-0.12**"
="",="(0.031)",="(0.045)",="(0.045)",="(0.053)"

="9.junta",="0.0092",="0.035",="-0.068",="0.026"
="",="(0.042)",="(0.048)",="(0.053)",="(0.066)"

="11.junta",="0.22***",="0.24***",="0.19***",="0.23***"
="",="(0.043)",="(0.053)",="(0.049)",="(0.055)"

="16.junta",="-0.017",="-0.029",="-0.12***",="-0.040"
="",="(0.028)",="(0.033)",="(0.040)",="(0.049)"

="_cons",="0.092***",="0.14***",="0.40***",="0.47***"
="",="(0.026)",="(0.046)",="(0.040)",="(0.050)"

="N",="1811",="1811",="1811",="1811"
="R-squared",="0.14",="0.12",="0.11",="0.083"
="DepVarMean",="0.16",="0.21",="0.35",="0.35"
="InteractionVarMean",="0.16",="0.16",="0.16",="0.16"
="Pvalue",="0.35",="0.49",="0.84",="0.82"
="Pvalue_",="",="",="",=""

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
