
="",="(1)",="(2)",="(3)",="(4)"
="",="seconcilio",="convenio_2m",="convenio_5m",="convenio_m5m"

="1.treatment",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.treatment",="0.019",="0.0067",="0.078",="0.041"
="",="(0.052)",="(0.082)",="(0.093)",="(0.13)"

="3.treatment",="0.023",="-0.017",="0.014",="-0.087"
="",="(0.076)",="(0.10)",="(0.12)",="(0.15)"

="0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="1.p_actor",="0.22**",="0.18",="0.29**",="0.32**"
="",="(0.11)",="(0.13)",="(0.14)",="(0.13)"

="1.treatment#0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="1.treatment#1.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.treatment#0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="2.treatment#1.p_actor",="-0.0082",="0.021",="-0.15",="-0.069"
="",="(0.12)",="(0.14)",="(0.16)",="(0.17)"

="3.treatment#0.p_actor",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="3.treatment#1.p_actor",="0.28",="0.47**",="0.29",="0.20"
="",="(0.23)",="(0.23)",="(0.24)",="(0.25)"

="2.junta",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)"

="7.junta",="-0.080",="-0.059",="0.019",="0.077"
="",="(0.13)",="(0.13)",="(0.13)",="(0.19)"

="9.junta",="-0.11",="-0.045",="0.20",="0.12"
="",="(0.18)",="(0.17)",="(0.19)",="(0.24)"

="11.junta",="-0.36***",="-0.35***",="-0.32***",="-0.50***"
="",="(0.13)",="(0.12)",="(0.12)",="(0.19)"

="16.junta",="-0.16",="-0.15",="0.035",="-0.10"
="",="(0.11)",="(0.11)",="(0.14)",="(0.20)"

="_cons",="0.12",="0.14",="0.100",="0.21"
="",="(0.15)",="(0.19)",="(0.19)",="(0.22)"

="N",="154",="154",="154",="154"
="R-squared",="0.13",="0.14",="0.12",="0.12"
="DepVarMean",="0.18",="0.20",="0.30",="0.30"
="InteractionVarMean",="0.53",="0.53",="0.53",="0.53"
="Pvalue",="0.19",="0.034",="0.050",="0.25"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
