
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp"

="1.tratamientoquelestoco",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.tratamientoquelestoco",="-0.51**",="1.39",="0.41",="0.61",="-0.30*",="0.61",="-0.17",="0.0044"
="",="(0.23)",="(3.57)",="(0.62)",="(1.69)",="(0.17)",="(3.47)",="(0.44)",="(1.64)"

="3.tratamientoquelestoco",="-0.56**",="1.58",="1.62",="1.42",="-0.39*",="-1.86",="-0.11",="-1.00"
="",="(0.26)",="(3.64)",="(1.35)",="(1.89)",="(0.19)",="(1.92)",="(0.39)",="(0.98)"

="gen",="0.41",="3.67",="1.37",="1.98",="0.12",="5.27",="0.82*",="2.58"
="",="(0.30)",="(3.95)",="(1.29)",="(1.88)",="(0.23)",="(3.63)",="(0.45)",="(1.66)"

="trabajador_base",="0",="-3.15",="-1.07",="-1.95",="0",="-1.36",="-1.12***",="-1.05*"
="",="(.)",="(2.12)",="(0.83)",="(1.19)",="(.)",="(1.22)",="(0.38)",="(0.55)"

="c_antiguedad",="-0.019",="-0.057",="-0.030",="-0.053",="0.0028",="0.076",="-0.026",="0.023"
="",="(0.023)",="(0.15)",="(0.034)",="(0.071)",="(0.0071)",="(0.11)",="(0.016)",="(0.034)"

="salario_diario",="0.00014",="-0.00013",="0.00058",="-0.000050",="0.00051",="-0.00053",="0.00044**",="-0.00036"
="",="(0.00058)",="(0.00058)",="(0.00036)",="(0.00046)",="(0.00034)",="(0.00041)",="(0.00021)",="(0.00031)"

="horas_sem",="0.0068",="0.14",="-0.0079",="0.056",="0.0059",="0.14",="-0.0074**",="0.051"
="",="(0.010)",="(0.096)",="(0.0076)",="(0.043)",="(0.0052)",="(0.089)",="(0.0036)",="(0.041)"

="0.A_7_3",="0",="",="",="",="0",="",="",=""
="",="(.)",="",="",="",="(.)",="",="",=""

="1.A_7_3",="0.22",="",="",="",="0.0031",="",="",=""
="",="(0.40)",="",="",="",="(0.22)",="",="",=""

="1.A_1_2",="0",="",="",="",="0",="",="",=""
="",="(.)",="",="",="",="(.)",="",="",=""

="2.A_1_2",="-0.29",="",="",="",="0.11",="",="",=""
="",="(0.51)",="",="",="",="(0.22)",="",="",=""

="3.A_1_2",="-0.62",="",="",="",="0.37",="",="",=""
="",="(0.62)",="",="",="",="(0.23)",="",="",=""

="4.A_1_2",="-0.43",="",="",="",="0.31",="",="",=""
="",="(0.71)",="",="",="",="(0.30)",="",="",=""

="1.A_6_1",="0",="",="",="",="0",="",="",=""
="",="(.)",="",="",="",="(.)",="",="",=""

="2.A_6_1",="-1.48",="",="",="",="-0.11",="",="",=""
="",="(0.92)",="",="",="",="(0.27)",="",="",=""

="3.A_6_1",="-1.44",="",="",="",="-0.11",="",="",=""
="",="(0.91)",="",="",="",="(0.23)",="",="",=""

="4.A_6_1",="-1.50",="",="",="",="-0.22",="",="",=""
="",="(0.93)",="",="",="",="(0.23)",="",="",=""

="_cons",="2.51*",="-6.04",="1.18*",="-1.33",="-0.76",="-8.01",="0.53**",="-2.55"
="",="(1.41)",="(5.97)",="(0.66)",="(2.49)",="(0.51)",="(5.63)",="(0.27)",="(2.36)"

="N",="40",="124",="95",="259",="40",="125",="97",="262"
="R-squared",="0.42",="0.037",="0.060",="0.020",="0.44",="0.077",="0.15",="0.037"
="OC_Mean",="0.89",="3.85",="2.04",="2.73",="-0.29",="1.55",="0.33",="0.82"
="OCSD",="0.65",="16.8",="4.04",="11.9",="0.42",="12.9",="1.70",="9.01"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
