
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp",="update_comp"

="1.tratamientoquelestoco",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.tratamientoquelestoco",="0.71",="-0.56",="0.37",="0.17",="14.5",="-2.61",="0.042",="-12.5"
="",="(0.79)",="(0.37)",="(0.41)",="(0.28)",="(15.6)",="(1.97)",="(0.36)",="(7.58)"

="gen",="-0.35",="-0.20",="0.37",="-0.073",="30.3",="1.39",="0.52",="-0.39"
="",="(1.05)",="(0.41)",="(0.53)",="(0.34)",="(16.7)",="(2.19)",="(0.39)",="(3.90)"

="trabajador_base",="0.66",="-1.02***",="0",="-0.63***",="-35.1",="-1.33",="0",="-5.91"
="",="(1.13)",="(0.35)",="(.)",="(0.23)",="(20.6)",="(3.14)",="(.)",="(7.23)"

="c_antiguedad",="-0.15",="0.023",="0.19",="0.013",="10.0***",="-0.23*",="0.042",="3.60"
="",="(0.10)",="(0.027)",="(0.16)",="(0.028)",="(0.86)",="(0.11)",="(0.031)",="(2.45)"

="salario_diario",="0.0011",="0.00011",="0.000093",="0.00012**",="-0.0055",="0.0015",="-0.000058***",="-0.00023"
="",="(0.0015)",="(0.00014)",="(0.000062)",="(0.000053)",="(0.012)",="(0.0019)",="(0.000020)",="(0.0011)"

="horas_sem",="-0.12",="-0.023",="0.0037",="-0.016",="2.04*",="0.00057",="0.033",="-0.0093"
="",="(0.13)",="(0.025)",="(0.030)",="(0.020)",="(0.92)",="(0.065)",="(0.019)",="(0.16)"

="0.A_7_3",="0",="",="",="",="0",="",="",=""
="",="(.)",="",="",="",="(.)",="",="",=""

="1.A_7_3",="-1.92",="",="",="",="-20.8",="",="",=""
="",="(2.13)",="",="",="",="(16.9)",="",="",=""

="2.A_1_2",="0",="",="",="",="0",="",="",=""
="",="(.)",="",="",="",="(.)",="",="",=""

="3.A_1_2",="-2.37",="",="",="",="3.99",="",="",=""
="",="(2.53)",="",="",="",="(29.5)",="",="",=""

="4.A_1_2",="-3.56",="",="",="",="42.8",="",="",=""
="",="(3.45)",="",="",="",="(33.2)",="",="",=""

="1.A_6_1",="0",="",="",="",="0",="",="",=""
="",="(.)",="",="",="",="(.)",="",="",=""

="2.A_6_1",="-3.10",="",="",="",="10.7",="",="",=""
="",="(3.11)",="",="",="",="(28.0)",="",="",=""

="3.A_6_1",="-1.08",="",="",="",="-30.6",="",="",=""
="",="(2.02)",="",="",="",="(19.0)",="",="",=""

="4.A_6_1",="-4.82",="",="",="",="11.7",="",="",=""
="",="(3.52)",="",="",="",="(21.8)",="",="",=""

="_cons",="12.9",="3.09*",="-0.22",="2.12",="-167.5*",="3.12",="-2.46**",="-3.28"
="",="(10.2)",="(1.68)",="(1.71)",="(1.31)",="(72.1)",="(5.49)",="(1.07)",="(9.25)"

="N",="20",="54",="32",="106",="20",="57",="32",="109"
="R-squared",="0.56",="0.18",="0.23",="0.051",="0.97",="0.15",="0.16",="0.35"
="OC_Mean",="1.26",="1.50",="1.22",="1.37",="18.1",="2.17",="-0.23",="4.38"
="OCSD",="1.69",="1.31",="1.63",="1.48",="77.9",="9.19",="0.98",="34.0"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
