
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)"
="",="nivel_de_felicidad",="ultimos_3_meses_ha_dejado_de_pag",="ultimos_3_meses_le_ha_faltado_di",="comprado_casa_o_terreno",="comprado_electrodomestico",="trabaja_actualmente"

="1.main_treatment",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.main_treatment",="0.13",="-0.070***",="-0.068***",="0.0016",="0.0053",="0.019"
="",="(0.12)",="(0.024)",="(0.025)",="(0.0051)",="(0.013)",="(0.025)"

="3.main_treatment",="0.29**",="-0.072**",="-0.077**",="0.0079",="0.0061",="0.020"
="",="(0.13)",="(0.032)",="(0.032)",="(0.0066)",="(0.014)",="(0.032)"

="mujer",="-0.29***",="0.042*",="0.037",="0.00057",="-0.051***",="-0.15***"
="",="(0.094)",="(0.022)",="(0.024)",="(0.0046)",="(0.011)",="(0.024)"

="antiguedad",="-0.025**",="-0.0027",="-0.0020",="0.00033",="-0.0021**",="-0.0083***"
="",="(0.011)",="(0.0024)",="(0.0024)",="(0.00068)",="(0.00096)",="(0.0021)"

="salario_diario",="0.0000076",="-0.000030",="-0.000044",="-0.00000090",="0.000020",="-0.000015"
="",="(0.000070)",="(0.000033)",="(0.000039)",="(0.0000014)",="(0.000019)",="(0.000021)"

="_cons",="8.12***",="0.60***",="0.56***",="0.0069*",="0.089***",="0.56***"
="",="(0.10)",="(0.024)",="(0.027)",="(0.0040)",="(0.012)",="(0.023)"

="N",="1959",="1975",="1977",="1980",="1981",="1975"
="R-squared",="0.011",="0.0081",="0.0084",="0.0012",="0.013",="0.028"
="DepVarMean",="8.02",="0.55",="0.51",="0.011",="0.068",="0.47"
="BVC",="YES",="YES",="YES",="YES",="YES",="YES"
="Source",="2m",="2m",="2m",="2m",="2m",="2m"
="T2=T3",="0.18",="0.95",="0.77",="0.37",="0.96",="0.96"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
