"backup.tipo_de_abogado","backup.giro_empresa","backup.trab_base","backup.acci_on_principal","backup.causa","backup.sueldo_diario_integrado","backup.gen","backup.ano_nac","backup.horas","backup.reinstalacion_t","backup.indem_const_t","backup.sal_caidos_t","backup.rec_hr_extra","backup.rec_20_d_ias_t","backup.sarimssinfo","backup.modo_de_termino","backup.liq_total","backup.cod_imss","backup.antig_anos","backup.djuicio","backup.id","backup.menor.3.anos"
"0","1","0","1","0",725.97,"0",NA,72,"1","0","1","1","0","1","convenio",33000,"1",4.9972602739726,1.09041095890411,1,1
"0","2","0","2","0",285.71,"1",NA,60,"0","1","1","1","0","1","convenio",12999.14,"1",1.11780821917808,0.142465753424658,2,1
"0","1","0","2","0",166.67,"1",NA,40,"0","1","0","0","1","1","convenio",5000,"1",2.63561643835616,1.97808219178082,3,1
"0","3","0","1","0",526.86,"1",NA,57,"1","1","1","1","1","1","convenio",30000,"1",1.97260273972603,0.334246575342466,4,1
"0","2","1","2","0",4550,"0",NA,84,"0","1","1","1","0","1","desiste",0,"1",14.8547945205479,1.54520547945205,5,1
"0","1","0","1","0",416.67,"1",NA,60,"1","1","1","1","1","0","convenio",13266,"1",0.641095890410959,1.76712328767123,6,1
"0","3","0","2","0",600,"0",NA,36,"0","1","1","0","0","0","desiste",0,"1",2.24109589041096,1.67945205479452,7,1
NA,"1","0","2","0",134,"0",NA,30,"0","1","1","0","0","1","caducidad",0,"1",1.58356164383562,2.57534246575342,8,1
NA,"1","0","2","0",134,"0",NA,30,"0","1","1","0","0","1","caducidad",0,"1",1.58356164383562,2.25479452054795,9,1
"0","3","0","2","0",242.86,"0",NA,72,"0","1","1","1","0","0","convenio",5000,"1",1.04931506849315,2.1013698630137,10,1
"0","3","0","2","0",333.33,"0",NA,56,"0","1","1","1","0","1","convenio",35000,"1",4.08493150684932,1.97534246575342,11,1
"0","1","0","2","0",233.33,"1",NA,45,"0","1","0","0","1","1","convenio",70000,"1",3.01095890410959,1.33424657534247,12,1
"1","1","0","2","0",67.58,"1",NA,36,"0","1","1","0","0","0","convenio",5300,"1",2.2986301369863,0.189041095890411,13,1
"1","3","0","2","0",350.14,"0",NA,40,"0","1","1","0","0","0","convenio",25880,"1",10.3260273972603,0.583561643835616,14,1
"0","1","1","1","0",1333.33,"1",NA,NA,"1","0","1","0","0","1","convenio",40000,"1",2.29041095890411,0.0328767123287671,15,1
"0","2","0","2","0",214.28,"0",NA,62,"0","1","1","1","1","1","convenio",17000,"1",2.11232876712329,0.531506849315069,16,1
"0","3","0","1","0",455.2,"0",NA,66,"1","1","1","1","1","0","convenio",10000,"1",4.68219178082192,0.550684931506849,17,1
"0","3","0","2","0",370,"1",NA,60,"0","1","1","1","0","1","convenio",46500,"1",11.0109589041096,0.304109589041096,18,1
"0","3","0","2","0",405.91,"1",NA,60,"0","1","1","1","1","1","convenio",30000,"1",0.232876712328767,0.797260273972603,19,1
"1","1","0","2","0",177.78,"1",NA,48,"0","1","1","0","0","0","caducidad",0,"1",0.0438356164383562,3.27123287671233,20,0
"0","1","0","2","0",328.82,"1",NA,54,"0","1","1","0","0","0","convenio",10000,"1",2.64931506849315,1.10958904109589,21,1
"0","2","0","1","0",250,"0",NA,45,"1","0","1","0","0","1","convenio",12000,"1",2.16164383561644,1.09315068493151,22,1
"0","4","0","1","0",250,"1",NA,47.5,"1","1","1","0","0","1","convenio",17000,"1",4.11780821917808,1.19452054794521,23,1
"1","1","0","2","0",104.64,"1",NA,53,"0","1","1","0","0","0","convenio",7000,"1",1.40547945205479,0.56986301369863,24,1
"0","1","0","2","0",166,"0",NA,45,"0","1","1","0","0","1","convenio",10000,"1",2.28219178082192,0.887671232876712,25,1
"0","1","0","2","0",1000,"0",NA,60,"0","1","1","1","0","1","convenio",40000,"1",3.13698630136986,0.134246575342466,26,1
"0","1","0","1","0",1000,"1",NA,60,"1","1","1","1","1","1","convenio",44000,"1",0.838356164383562,2.27945205479452,27,1
"0","2","0","1","0",356.14,"0",NA,45,"1","0","1","0","0","0","desiste",0,"1",19.2876712328767,2.12328767123288,28,1
"0","1","0","1","0",383.333,"1",NA,66,"1","0","1","0","0","1","convenio",40000,"1",0.301369863013699,1.91506849315068,29,1
"0","1","0","2","0",183.43,"0",NA,72,"0","1","1","1","0","0","convenio",6000,"1",2.87123287671233,1.16164383561644,30,1
"0","1","0","1","0",220,"0",NA,42,"1","1","1","0","1","1","desiste",0,"1",4.25479452054795,0.298630136986301,31,1
"0","1","0","1","0",357.14,"0",NA,54,"1","0","1","1","0","1","desiste",0,"1",1.13698630136986,0.134246575342466,32,1
"0","1","0","2","0",300,"1",NA,48,"0","1","1","0","0","0","convenio",22000,"1",0.367123287671233,1.83561643835616,33,1
