"d.convenio.df.tipo_de_abogado","d.convenio.df.giro_empresa","d.convenio.df.trab_base","d.convenio.df.acci_on_principal","d.convenio.df.causa","d.convenio.df.sueldo_diario_integrado","d.convenio.df.gen","d.convenio.df.horas","d.convenio.df.reinstalacion_t","d.convenio.df.indem_const_t","d.convenio.df.sal_caidos_t","d.convenio.df.rec_hr_extra","d.convenio.df.rec_20_d_ias_t","d.convenio.df.sarimssinfo","d.convenio.df.cod_imss","d.convenio.df.antig_anos","d.convenio.df.y","d.convenio.df.id"
"0","1","0","1","0",725.97,"0",72,"1","0","1","1","0","1","1",4.9972602739726,1.09041095890411,1
"0","2","0","2","0",285.71,"1",60,"0","1","1","1","0","1","1",1.11780821917808,0.142465753424658,2
"0","1","0","2","0",166.67,"1",40,"0","1","0","0","1","1","1",2.63561643835616,1.97808219178082,3
"0","3","0","1","0",526.86,"1",57,"1","1","1","1","1","1","1",1.97260273972603,0.334246575342466,4
"0","1","0","1","0",416.67,"1",60,"1","1","1","1","1","0","1",0.641095890410959,1.76712328767123,6
"0","3","0","2","0",242.86,"0",72,"0","1","1","1","0","0","1",1.04931506849315,2.1013698630137,10
"0","3","0","2","0",333.33,"0",56,"0","1","1","1","0","1","1",4.08493150684932,1.97534246575342,11
"0","1","0","2","0",233.33,"1",45,"0","1","0","0","1","1","1",3.01095890410959,1.33424657534247,12
"1","1","0","2","0",67.58,"1",36,"0","1","1","0","0","0","1",2.2986301369863,0.189041095890411,13
"1","3","0","2","0",350.14,"0",40,"0","1","1","0","0","0","1",10.3260273972603,0.583561643835616,14
"0","2","0","2","0",214.28,"0",62,"0","1","1","1","1","1","1",2.11232876712329,0.531506849315069,16
"0","3","0","1","0",455.2,"0",66,"1","1","1","1","1","0","1",4.68219178082192,0.550684931506849,17
"0","3","0","2","0",370,"1",60,"0","1","1","1","0","1","1",11.0109589041096,0.304109589041096,18
"0","3","0","2","0",405.91,"1",60,"0","1","1","1","1","1","1",0.232876712328767,0.797260273972603,19
"0","1","0","2","0",328.82,"1",54,"0","1","1","0","0","0","1",2.64931506849315,1.10958904109589,21
"0","2","0","1","0",250,"0",45,"1","0","1","0","0","1","1",2.16164383561644,1.09315068493151,22
"0","4","0","1","0",250,"1",47.5,"1","1","1","0","0","1","1",4.11780821917808,1.19452054794521,23
"1","1","0","2","0",104.64,"1",53,"0","1","1","0","0","0","1",1.40547945205479,0.56986301369863,24
"0","1","0","2","0",166,"0",45,"0","1","1","0","0","1","1",2.28219178082192,0.887671232876712,25
"0","1","0","2","0",1000,"0",60,"0","1","1","1","0","1","1",3.13698630136986,0.134246575342466,26
"0","1","0","1","0",1000,"1",60,"1","1","1","1","1","1","1",0.838356164383562,2.27945205479452,27
"0","1","0","1","0",383.333,"1",66,"1","0","1","0","0","1","1",0.301369863013699,1.91506849315068,29
"0","1","0","2","0",183.43,"0",72,"0","1","1","1","0","0","1",2.87123287671233,1.16164383561644,30
"0","1","0","2","0",300,"1",48,"0","1","1","0","0","0","1",0.367123287671233,1.83561643835616,33
"1","2","0","2","0",138.56,"0",50,"0","1","1","0","0","0","1",0.249315068493151,0.572602739726027,37
"0","1","1","1","0",812.52,"1",45,"1","1","1","0","1","0","1",13.4630136986301,0.0794520547945206,39
"1","1","0","2","0",121.36,"1",35,"0","1","1","0","0","0","1",1.78356164383562,0.158904109589041,40
"0","5","0","2","0",364.36,"0",60,"0","1","1","1","0","0","1",6.14794520547945,0.704109589041096,42
"0","1","0","2","0",372.84,"0",57,"0","1","0","1","0","1","1",3.13698630136986,2.60821917808219,44
"0","2","0","2","0",333.33,"1",72,"0","1","1","1","0","1","1",0.30958904109589,1.55616438356164,45
"0","2","0","2","0",279.42,"0",55,"0","1","1","1","0","1","1",3.62739726027397,0.515068493150685,46
"0","3","0","2","0",206.67,"0",40,"0","1","1","0","0","0","1",2.68767123287671,0.643835616438356,48
"0","2","1","1","0",2000,"0",61,"1","1","1","1","0","1","1",2.23287671232877,0.564383561643836,49
"0","4","0","2","0",2256.8,"0",59,"0","1","1","1","0","1","1",19.7753424657534,0.227397260273973,51
"0","2","0","1","0",607.11,"0",62,"1","0","1","0","0","0","1",12.7452054794521,1.02739726027397,52
"0","1","0","1","0",266.66,"1",56,"1","1","1","1","1","1","1",0.778082191780822,0.172602739726027,53
"1","1","0","2","0",148.8,"1",54,"0","1","1","1","0","0","1",0.854794520547945,0.643835616438356,54
"0","1","0","2","0",1030,"1",45,"0","1","1","1","0","1","1",1.63561643835616,0.189041095890411,55
"0","1","0","2","0",578.8,"0",72,"0","1","1","1","1","1","1",20.6712328767123,2.83287671232877,56
"0","3","0","1","0",500,"1",65,"1","1","1","1","1","1","1",1.13972602739726,2.89315068493151,57
"0","1","0","2","0",100,"0",60,"0","1","1","1","0","1","1",1.17808219178082,2.59178082191781,58
"0","3","0","2","0",1000,"0",45,"0","1","1","1","0","0","1",2.1972602739726,0.197260273972603,59
"0","5","0","2","0",525.35,"0",84,"0","1","1","1","0","0","1",5.04109589041096,0.465753424657534,60
"0","3","0","2","0",568.2,"1",45,"0","1","1","0","1","1","1",1.75068493150685,0.498630136986301,62
"0","3","0","2","0",864,"1",60,"0","1","1","1","0","0","1",0.983561643835616,0.421917808219178,63
"0","2","0","1","0",830.81,"0",60,"1","1","1","1","1","1","1",7.6986301369863,0.0684931506849315,67
"0","1","1","1","0",1106.66,"1",60,"1","1","1","1","0","1","1",1.56438356164384,0.638356164383562,68
"0","3","0","1","0",1544.83,"1",60,"1","0","1","1","0","1","1",0.964383561643836,0.284931506849315,69
"0","1","0","1","0",333.33,"1",54,"1","0","1","0","0","1","1",8.06027397260274,0.808219178082192,70
"0","2","0","2","0",235.06,"0",47.5,"0","1","1","0","0","0","1",15.3452054794521,0.901369863013699,72
"1","1","0","1","0",663.92,"0",63,"1","1","1","0","0","0","1",4.34520547945205,0.243835616438356,73
"0","5","0","2","0",533.33,"0",72,"0","1","1","1","0","1","1",1.07671232876712,1.30684931506849,75
"0","1","0","2","0",535.71,"0",72,"0","1","1","1","0","0","1",0.983561643835616,1.55342465753425,76
"0","2","0","2","0",206.67,"1",72,"0","1","1","1","0","1","1",0.789041095890411,0.550684931506849,79
"1","1","0","2","0",134.37,"0",60,"0","1","1","0","0","0","1",0.120547945205479,0.153424657534247,80
"0","4","0","1","0",256.96,"0",60,"1","1","1","1","1","1","1",16.5452054794521,0.50958904109589,82
"0","3","0","1","0",400,"0",96,"1","0","1","1","0","0","1",1.41917808219178,2.03835616438356,83
"0","2","0","1","0",176.97,"0",51,"1","1","1","0","0","1","1",0.156164383561644,0.202739726027397,84
"0","1","0","2","0",184.47,"0",41.5,"0","1","1","0","0","1","1",1.38630136986301,1.21917808219178,86
"0","3","0","2","0",450,"0",60,"0","1","1","1","0","1","1",0.580821917808219,0.556164383561644,87
"0","3","0","1","0",266.66,"0",42,"1","1","1","0","1","0","1",3.34794520547945,0.613698630136986,88
"0","1","0","2","0",166.666666666667,"0",48,"0","1","1","0","0","1","1",0.479452054794521,0.583561643835616,90
"0","1","0","2","0",462.58,"0",72,"0","1","1","1","0","0","1",7.19178082191781,0.972602739726027,95
"0","4","0","1","0",200,"1",50,"1","1","1","1","1","0","1",0.553424657534247,0.249315068493151,98
"0","1","0","2","0",604,"0",66,"0","1","1","1","1","1","1",4.74794520547945,0.26027397260274,99
"0","3","0","2","0",1091.32666666667,"0",50,"0","1","1","1","1","0","1",2.24383561643836,0.326027397260274,105
"0","1","0","2","0",166.666666666667,"0",78,"0","1","1","1","0","1","1",3.74246575342466,0.0438356164383562,108
"0","3","0","2","0",263.36,"0",70,"0","1","1","1","1","1","1",1.55890410958904,0.583561643835616,109
"0","5","0","2","0",200,"0",72,"0","1","1","1","0","0","1",0.473972602739726,0.295890410958904,110
"0","2","0","1","0",376.073059360731,"0",64.5,"1","1","1","1","1","1","1",5.91780821917808,1.85753424657534,112
"0","6","0","1","0",3333.33333333333,"1",35,"1","1","1","0","1","1","1",1.75890410958904,2.45479452054795,113
"1","3","0","2","0",68.9,"1",54,"0","1","1","1","0","0","1",2.15342465753425,0.723287671232877,114
"0","1","0","2","0",8000,"0",70,"0","0","1","1","0","1","1",2.4958904109589,0.591780821917808,116
"0","7","0","2","0",101.67,"0",54,"0","1","1","0","0","1","1",1.18356164383562,0.876712328767123,119
"1","1","0","2","0",145.66,"0",45,"0","1","1","0","0","0","1",3.61643835616438,0.849315068493151,120
"1","1","0","2","0",160.7,"1",54,"0","1","1","0","0","0","1",4.53972602739726,1.95068493150685,121
"0","6","1","2","1",10000,"1",47.5,"0","1","1","1","1","1","1",1.41643835616438,0.282191780821918,123
"0","3","0","2","0",366.66,"1",55,"0","1","1","1","1","1","1",2.26301369863014,0.693150684931507,124
"0","3","0","2","0",216.66,"0",60,"0","1","1","1","0","0","1",4.43835616438356,1.09315068493151,125
"0","2","1","1","0",630,"0",55,"1","0","1","0","0","1","1",0.712328767123288,0.0684931506849315,126
"0","5","0","1","0",303.66,"0",70,"1","0","1","0","0","0","1",5.87945205479452,1.68767123287671,127
"0","5","0","1","0",303.66,"0",70,"1","0","1","0","0","0","1",5.68767123287671,1.68767123287671,128
"0","2","0","2","0",250,"0",66,"0","1","1","1","0","1","1",2.14794520547945,1.46849315068493,132
"0","1","0","2","0",79,"1",46,"0","1","1","1","0","1","1",2.56164383561644,0.904109589041096,133
"1","1","0","2","0",133.59,"1",86.5,"0","1","1","0","0","0","1",21.7123287671233,0.0164383561643836,134
"0","1","0","1","0",240.46,"1",54,"1","1","1","0","1","1","1",2.84109589041096,0.282191780821918,136
"0","3","1","2","0",460,"1",50,"0","1","1","1","0","0","1",1.42191780821918,1.03561643835616,138
"0","3","0","2","0",280,"0",60,"0","1","1","1","0","0","1",0.265753424657534,0.29041095890411,143
"0","7","0","2","0",154.33,"0",54,"0","1","1","1","0","0","1",7.8958904109589,0.863013698630137,144
"0","5","0","2","0",308.571428571429,"0",60,"0","1","1","1","0","1","1",6.14794520547945,1.24383561643836,145
"0","2","0","2","0",313.95,"0",60,"0","1","1","1","0","1","1",3.45753424657534,0.621917808219178,147
"0","2","0","1","0",588,"1",54,"1","1","1","1","1","1","1",6.0027397260274,0.961643835616438,148
"1","3","0","2","0",182.06,"0",50,"0","1","1","0","0","0","1",0.23013698630137,0.063013698630137,149
"0","1","0","1","0",435,"1",55,"1","0","0","1","0","1","1",1.21643835616438,0.619178082191781,151
"0","3","0","2","0",628.628571428571,"0",60,"0","1","1","1","0","1","1",1.75068493150685,0.30958904109589,152
"0","1","0","2","0",406,"0",60,"0","1","1","1","0","0","1",25.0027397260274,1.12328767123288,153
"1","1","0","2","0",154.7,"1",48,"0","1","1","0","0","0","1",5.04657534246575,2.53424657534247,154
"0","3","0","2","0",3500,"0",60,"0","1","1","1","0","0","1",1.1013698630137,0.605479452054794,157
"1","3","0","2","0",260.13,"1",45,"0","1","1","0","0","0","1",0.0438356164383562,1.22739726027397,159
"0","1","0","2","0",94.19,"1",48,"0","1","1","0","0","1","1",1.01643835616438,1.29315068493151,161
"0","1","1","2","0",666.666666666667,"0",50,"0","1","1","1","0","1","1",3.13150684931507,1.13424657534247,167
