"d.laudo.pierde.df.tipo_de_abogado","d.laudo.pierde.df.giro_empresa","d.laudo.pierde.df.trab_base","d.laudo.pierde.df.acci_on_principal","d.laudo.pierde.df.causa","d.laudo.pierde.df.sueldo_diario_integrado","d.laudo.pierde.df.gen","d.laudo.pierde.df.horas","d.laudo.pierde.df.reinstalacion_t","d.laudo.pierde.df.indem_const_t","d.laudo.pierde.df.sal_caidos_t","d.laudo.pierde.df.rec_hr_extra","d.laudo.pierde.df.rec_20_d_ias_t","d.laudo.pierde.df.sarimssinfo","d.laudo.pierde.df.cod_imss","d.laudo.pierde.df.antig_anos","d.laudo.pierde.df.y","d.laudo.pierde.df.id"
"0","1","0","2","0",633.33,"0",60,"0","1","1","1","0","0","1",0.463013699,4.33698630136986,2302
"0","6","0","2","0",1040,"1",40,"0","1","1","0","1","1","1",5.487671233,3.07123287671233,2304
"0","7","0","2","0",1408.83,"0",62,"0","1","1","1","1","1","1",16.14520548,4.60547945205479,2305
"0","7","0","2","0",483,"0",84,"0","1","1","0","0","0","1",3.315068493,3.87123287671233,2307
"1","1","0","2","0",88.08,"1",48,"0","1","1","0","0","0","1",1.506849315,2.32054794520548,2315
"0","1","0","2","0",170,"0",72,"0","1","1","1","0","0","1",0.389041096,2.30684931506849,2316
"0","2","0","1","0",427.12,"0",66,"1","1","1","1","1","0","1",4.898630137,1.88219178082192,2318
"0","4","1","2","0",500,"0",72,"0","1","1","1","0","1","1",3.909589041,3.75342465753425,2319
"1","3","0","2","0",156.77,"1",49,"0","1","1","0","0","0","1",0.783561644,1.70684931506849,2320
"0","4","0","2","0",300,"0",60,"0","1","1","0","0","0","1",0.736986301,1.83835616438356,2322
"0","1","0","2","0",200,"1",50,"0","1","1","1","0","0","1",0.643835616,4.99452054794521,2323
"0","5","0","2","0",264.04,"0",63,"0","1","1","1","0","1","0",9.41369863,0.758904109589041,2324
"0","2","0","2","0",2500,"0",66,"0","1","1","1","0","1","0",10.43561644,4.7972602739726,2325
