"df.laudo.pierde.tipo_de_abogado","df.laudo.pierde.giro_empresa","df.laudo.pierde.trab_base","df.laudo.pierde.acci_on_principal","df.laudo.pierde.causa","df.laudo.pierde.sueldo_diario_integrado","df.laudo.pierde.gen","df.laudo.pierde.horas","df.laudo.pierde.reinstalacion_t","df.laudo.pierde.indem_const_t","df.laudo.pierde.sal_caidos_t","df.laudo.pierde.rec_hr_extra","df.laudo.pierde.rec_20_d_ias_t","df.laudo.pierde.sarimssinfo","df.laudo.pierde.cod_imss","df.laudo.pierde.antig_anos","df.laudo.pierde.id","df.laudo.pierde.y"
"1","3","0","2","0",1058.25,"0",48,"0","1","1","0","0","0","1",3.830136986,2301,0
"0","1","0","2","0",633.33,"0",60,"0","1","1","1","0","0","1",0.463013699,2302,1
"0","7","1","2","0",798.28,"1",51,"0","1","1","0","0","0","1",4.443835616,2303,0
"0","6","0","2","0",1040,"1",40,"0","1","1","0","1","1","1",5.487671233,2304,1
"0","7","0","2","0",1408.83,"0",62,"0","1","1","1","1","1","1",16.14520548,2305,1
"0","7","0","2","0",483,"0",84,"0","1","1","0","0","0","1",3.315068493,2307,1
"1","1","0","2","0",145.28,"0",54,"0","1","1","0","0","0","1",0.95890411,2308,0
"0","2","0","2","0",233.33,"0",51,"0","1","1","1","1","0","1",7.860273973,2309,0
"0","2","0","1","0",112.56,"0",50,"1","1","1","1","0","0","1",2.915068493,2310,0
"0","4","0","1","0",500,"0",60,"1","1","1","1","1","0","1",0.591780822,2311,0
"0","2","0","1","0",1883.64,"0",66,"1","1","1","1","0","1","1",10.36986301,2312,0
"0","2","0","1","0",1607.72,"0",66,"1","1","1","1","0","1","1",10.20821918,2313,0
"0","2","0","1","0",1782.09,"0",66,"1","1","1","1","0","1","1",13.34794521,2314,0
"1","1","0","2","0",88.08,"1",48,"0","1","1","0","0","0","1",1.506849315,2315,1
"0","1","0","2","0",170,"0",72,"0","1","1","1","0","0","1",0.389041096,2316,1
"0","2","0","1","0",427.12,"0",66,"1","1","1","1","1","0","1",4.898630137,2318,1
"0","4","1","2","0",500,"0",72,"0","1","1","1","0","1","1",3.909589041,2319,1
"1","3","0","2","0",156.77,"1",49,"0","1","1","0","0","0","1",0.783561644,2320,1
"0","4","0","2","0",300,"0",60,"0","1","1","0","0","0","1",0.736986301,2322,1
"0","1","0","2","0",200,"1",50,"0","1","1","1","0","0","1",0.643835616,2323,1
"0","5","0","2","0",264.04,"0",63,"0","1","1","1","0","1","0",9.41369863,2324,1
"0","2","0","2","0",2500,"0",66,"0","1","1","1","0","1","0",10.43561644,2325,1
"0","2","0","2","0",2000,"0",66,"0","1","1","1","0","1","0",9.216438356,2326,1
"0","2","0","2","0",2333.33,"0",66,"0","1","1","1","0","1","0",10.13424658,2327,1
"0","2","0","2","0",1500,"0",66,"0","1","1","1","0","1","0",20.14246575,2328,1
"0","2","0","2","0",2000,"1",66,"0","1","1","1","0","1","0",4.106849315,2329,1
"0","2","0","1","0",400,"1",60,"1","0","1","1","0","0","0",1.367123288,2330,1
"0","1","0","2","0",166.66,"0",72,"0","1","1","1","0","0","0",0.487671233,2331,1
"0","2","0","1","0",2494.99,"0",48,"0","1","1","1","0","0","0",31.62465753,2332,0
