"duracion_caducidad_train.id","duracion_caducidad_train.antig_anos","duracion_caducidad_train.horas","duracion_caducidad_train.sueldo_diario_integrado","duracion_caducidad_train.tipo_de_abogado","duracion_caducidad_train.trab_base","duracion_caducidad_train.gen","duracion_caducidad_train.reinstalacion_t","duracion_caducidad_train.indem_const_t","duracion_caducidad_train.rec_hr_extra","duracion_caducidad_train.rec_20_d_ias_t","duracion_caducidad_train.sarimssinfo","duracion_caducidad_train.cod_imss","duracion_caducidad_train.y"
71,1.24675645654915,-0.324007169353872,3.65102123549174,"0","0","0","1","1","1","1","1","1",2.83561643835616
1393,0.549193268423358,1.85384421624423,2.74487626654349,"0","0","0","0","1","1","0","0","0",2.67123287671233
1724,-0.359635594407194,0.76491852344518,-0.567384876300225,"0","0","0","0","1","1","0","0","0",1.88767123287671
919,-0.691348467800344,-0.868470015753398,-0.447543453120273,"0","0","1","0","1","0","0","1","0",2.25479452054795
911,-0.154810946370259,0.0389680615791452,0.146527601786056,"0","0","0","0","1","1","0","1","0",2.78356164383562
2244,3.34781935559469,0.401943292512163,-0.735174852894474,"0","0","0","0","1","1","0","0","0",2.63561643835616
1887,-0.65849923179442,-0.203015425709533,0.391346509139385,"0","0","0","0","1","1","0","0","0",1.13424657534247
2243,-0.657211026460855,0.0389680615791452,-0.567384876300225,"0","0","1","0","1","1","0","1","0",2.05479452054795
1075,-0.482659203762712,0.76491852344518,-0.538622934737036,"0","0","1","0","1","1","0","0","0",0.635616438356164
363,4.865325238535,-0.56599065664255,1.44954627581835,"0","1","1","0","1","1","1","0","0",2.65479452054795
218,0.578177888428585,-0.68698240028689,-0.687226299480176,"0","0","0","0","1","1","0","1","1",2.01917808219178
1897,1.20939850187574,0.583430907978671,-0.0880311677227379,"0","0","1","0","1","1","0","1","0",1.47671232876712
1820,2.27989713406878,0.220455677045654,-0.207860606760371,"0","0","0","1","0","1","0","1","0",2.32328767123288
1900,0.206530649694901,-0.203015425709533,-0.419512544238483,"0","0","0","1","0","1","0","1","0",1.8
353,-0.638532049124153,-2.07838745219679,0.87071220185919,"0","0","0","0","1","0","0","1","0",2.70958904109589
1638,1.21648363121036,-0.203015425709533,-0.638930205938655,"1","0","0","0","1","0","0","0","0",1.41095890410959
749,0.621332767103034,-1.77590809308594,-0.867012402534738,"0","0","1","0","1","0","0","0","0",1.36986301369863
2259,-0.272681734391514,0.0389680615791452,-0.567384876300225,"0","0","0","0","1","0","1","1","0",2.45479452054795
1908,-0.33129507706875,0.643926779800841,0.391322540854749,"0","0","0","0","1","1","1","1","0",0.452054794520548
494,-0.551578189108473,-0.868470015753398,-1.04699025186639,"1","0","0","0","1","0","0","0","0",0.13972602739726
739,-0.389264317079204,0.76491852344518,-0.747147011070151,"0","0","0","0","1","1","1","0","0",2.25205479452055
204,-0.378958674410679,2.57979467811027,0.511187932319336,"0","1","0","0","1","1","0","1","1",2.64383561643836
2126,-0.664296155795466,-0.68698240028689,0.20170944109943,"0","0","1","0","1","1","0","1","0",2.9041095890411
2117,-0.291360711728216,0.76491852344518,-0.388377742496332,"1","0","0","0","1","0","0","0","0",1.09041095890411
1666,0.884770757817205,0.0389680615791452,0.151663662779482,"0","0","0","0","1","1","1","0","0",2.16986301369863
711,1.83482219132186,0.76491852344518,-0.687250267764812,"0","0","1","0","1","1","0","0","0",1.25205479452055
1010,-0.471709458427404,-0.324007169353872,-0.395927752156668,"0","0","0","1","1","0","1","1","0",2.62191780821918
1738,-0.686195646466081,-1.41293286215292,-0.670106096168754,"0","0","1","0","1","0","1","1","0",0.50958904109589
634,-0.682975133132168,0.220455677045654,0.218894701183435,"1","0","0","0","1","0","0","1","0",1.52054794520548
2250,-0.427910477086173,-0.868470015753398,0.391322540854749,"0","0","0","1","0","1","0","1","0",2.7041095890411
500,-0.505846899766893,-1.41293286215292,-0.910658648856877,"1","0","0","0","1","0","0","0","0",2.60821917808219
603,0.254838349703612,-0.717230336197974,0.858775996110466,"0","0","0","1","1","1","1","1","0",0.942465753424658
2276,-0.709383342470263,2.21681944717725,-0.15652054107008,"0","0","0","0","1","1","0","1","0",0.761643835616438
602,-0.428554579752955,-0.56599065664255,0.726902494043248,"0","0","0","0","1","1","0","1","0",1.69041095890411
797,1.26801184455298,-0.717230336197974,-0.4715357060409,"0","0","0","0","1","1","0","0","0",1.36438356164384
2208,-0.31970122906666,-0.68698240028689,-0.567384876300225,"0","0","1","0","1","0","1","1","0",1.27945205479452
351,3.02834443287041,0.0389680615791452,1.94928501047875,"0","0","0","0","1","1","0","0","0",2.80547945205479
1387,0.291552201710232,0.76491852344518,-0.477072379791813,"0","0","1","0","1","1","0","0","0",0.783561643835616
1962,-0.680398722465036,-0.324007169353872,-0.606932545949608,"0","0","1","0","1","1","0","0","0",1.66849315068493
1784,-0.14128479036782,0.401943292512163,0.609086390915038,"0","0","0","1","0","1","0","1","0",0.980821917808219
1977,0.323757335049373,0.76491852344518,-0.878984560710416,"0","0","1","0","1","1","0","1","0",1.10684931506849
653,0.796528692467959,-0.0517757461541092,-0.55886415111213,"0","0","1","0","1","1","0","0","0",2.92054794520548
1771,-0.444657146422526,-0.203015425709533,0.0617825953945191,"0","0","0","0","1","1","0","1","0",0.443835616438356
2248,-0.337736103736578,-0.56599065664255,2.78816298859609,"0","1","0","1","0","1","0","1","0",2.67671232876712
1274,-0.591512554449008,-0.324007169353872,-0.387622741530298,"1","0","0","0","1","0","0","0","0",1.16712328767123
2085,-0.0420929796832662,0.76491852344518,-0.567384876300225,"0","0","1","0","1","1","0","1","0",1.0986301369863
38,-0.541916649106731,-1.41293286215292,-0.897536013018672,"1","0","1","0","1","0","0","1","1",2.45753424657534
1550,-0.216644802381409,0.0389680615791452,-0.207860606760371,"0","0","0","0","1","1","0","0","0",1.76438356164384
1709,1.42130827924729,0.401943292512163,1.23023647139904,"0","0","1","0","1","1","0","1","0",1.93698630136986
1293,-0.289428403727867,0.0389680615791452,0.048942442910953,"0","0","0","1","0","0","0","0","0",2.77534246575342
1741,-0.482015101095929,-0.324007169353872,-0.567384876300225,"0","0","1","0","1","1","0","1","0",1.77260273972603
382,-0.255290962388378,-0.777726208020144,1.71559423527785,"0","0","0","0","1","0","1","1","0",0.323287671232877
1793,-0.564460242444129,-0.56599065664255,-0.910658648856877,"1","0","0","0","1","0","0","0","0",0.410958904109589
1937,-0.362212005074325,0.0389680615791452,-0.327702029940322,"0","0","0","0","1","1","0","1","0",2.8027397260274
2251,0.19493680169281,1.00690201073386,-0.695786401135887,"0","0","0","0","1","1","1","0","0",2.64109589041096
1164,-0.413740218416951,0.76491852344518,-0.860140352925534,"0","0","0","0","1","1","0","0","0",0.73972602739726
158,-0.150946330369562,-0.717230336197974,0.26476999797672,"0","1","1","0","1","0","0","0","1",0.838356164383562
1727,2.38166535542047,-0.868470015753398,1.92857641255325,"0","0","1","0","1","0","0","0","0",2.67945205479452
2264,-0.237900190385242,-0.324007169353872,-0.84303213375643,"0","0","0","0","1","0","1","0","0",0.805479452054795
2035,0.0345552376638888,-1.04995763121991,-0.327725998224958,"0","0","1","0","1","0","0","0","0",1.09315068493151
362,-0.396349446413815,0.0389680615791452,-0.567384876300225,"0","0","0","0","1","1","0","1","0",1.62465753424658
853,-1.94283994935935,0.0389680615791452,-0.670106096168754,"0","0","0","0","1","1","0","1","0",2.2
845,1.04257591117899,-0.324007169353872,-0.926909145840078,"0","0","0","0","1","0","1","0","0",2.42465753424658
1226,3.6325127343127,0.946406138911689,0.190499987981277,"0","0","0","1","1","1","1","0","0",2.64109589041096
302,-0.281699171726473,1.49086898531121,-0.862674143015624,"0","0","0","1","0","1","0","0","0",2.99178082191781
85,-0.467200739759924,0.0389680615791452,0.511187932319336,"0","0","0","0","1","1","0","1","1",1.79178082191781
472,-0.687483851799647,-0.868470015753398,-0.533949119233018,"1","0","1","0","1","0","0","0","0",2.36438356164384
