"estandarizados_duracion_convenio.id","estandarizados_duracion_convenio.antig_anos","estandarizados_duracion_convenio.horas","estandarizados_duracion_convenio.sueldo_diario_integrado","estandarizados_duracion_convenio.tipo_de_abogado","estandarizados_duracion_convenio.trab_base","estandarizados_duracion_convenio.gen","estandarizados_duracion_convenio.reinstalacion_t","estandarizados_duracion_convenio.indem_const_t","estandarizados_duracion_convenio.sal_caidos_t","estandarizados_duracion_convenio.rec_hr_extra","estandarizados_duracion_convenio.rec_20_d_ias_t","estandarizados_duracion_convenio.sarimssinfo","estandarizados_duracion_convenio.cod_imss","estandarizados_duracion_convenio.y"
1,0.320234441088753,1.06633243558808,0.549959596359855,"0","0","0","1","0","1","1","0","1","1",1.09041095890411
2,-0.548000312806048,0.125529785315588,-0.285091256204397,"0","0","1","0","1","1","1","0","1","1",0.142465753424658
4,-0.356694350083465,-0.109670877252536,0.172303267703906,"0","0","1","1","1","1","1","1","1","1",0.334246575342466
6,-0.654690176632104,0.125529785315588,-0.0366965356942107,"0","0","1","1","1","1","1","1","0","1",1.76712328767123
10,-0.563329316229332,1.06633243558808,-0.366365796322459,"0","0","0","0","1","1","1","0","0","1",2.1013698630137
11,0.116052115490611,-0.188071098108577,-0.194769351877159,"0","0","0","0","1","1","1","0","1","1",1.97534246575342
12,-0.124306658186481,-1.05047352752503,-0.384441557520245,"0","0","1","0","1","0","0","1","1","1",1.33424657534247
13,-0.283728293788633,-1.7560755152294,-0.698823238373661,"1","0","1","0","1","1","0","0","0","1",0.189041095890411
14,1.51283090742024,-1.44247463180524,-0.162885454108556,"1","0","0","0","1","1","0","0","0","1",0.583561643835616
16,-0.325423183099966,0.282330227027671,-0.420574112695253,"0","0","0","0","1","1","1","1","1","1",0.531506849315069
17,0.249721025341647,0.595931110451835,0.0363841651400704,"0","0","0","1","1","1","1","1","0","1",0.550684931506849
18,1.66612094165308,0.125529785315588,-0.125216554067839,"0","0","1","0","1","1","1","0","1","1",0.304109589041096
19,-0.746051037034877,0.125529785315588,-0.0571052650214067,"0","0","1","0","1","1","1","1","1","1",0.797260273972603
21,-0.20524379626142,-0.344871539820659,-0.203323568351662,"0","0","1","0","1","1","0","0","0","1",1.10958904109589
22,-0.314386300635201,-1.05047352752503,-0.352823200839543,"0","0","0","1","0","1","0","0","1","1",1.09315068493151
23,0.123410037133788,-0.854472975384927,-0.352823200839543,"0","0","1","1","1","1","0","0","1","1",1.19452054794521
24,-0.483618498428256,-0.423271760676701,-0.628530718962333,"1","0","1","0","1","1","0","0","0","1",0.56986301369863
