"lt.convenio.df.tipo_de_abogado","lt.convenio.df.giro_empresa","lt.convenio.df.trab_base","lt.convenio.df.acci_on_principal","lt.convenio.df.causa","lt.convenio.df.sueldo_diario_integrado","lt.convenio.df.gen","lt.convenio.df.horas","lt.convenio.df.reinstalacion_t","lt.convenio.df.indem_const_t","lt.convenio.df.sal_caidos_t","lt.convenio.df.rec_hr_extra","lt.convenio.df.rec_20_d_ias_t","lt.convenio.df.sarimssinfo","lt.convenio.df.y","lt.convenio.df.cod_imss","lt.convenio.df.antig_anos","lt.convenio.df.id"
"0","1","0","1","0",725.97,"0",72,"1","0","1","1","0","1",33000,"1",4.9972602739726,1
"0","2","0","2","0",285.71,"1",60,"0","1","1","1","0","1",12999.14,"1",1.11780821917808,2
"0","1","0","2","0",166.67,"1",40,"0","1","0","0","1","1",5000,"1",2.63561643835616,3
"0","3","0","1","0",526.86,"1",57,"1","1","1","1","1","1",30000,"1",1.97260273972603,4
"0","1","0","1","0",416.67,"1",60,"1","1","1","1","1","0",13266,"1",0.641095890410959,6
"0","3","0","2","0",242.86,"0",72,"0","1","1","1","0","0",5000,"1",1.04931506849315,10
"0","3","0","2","0",333.33,"0",56,"0","1","1","1","0","1",35000,"1",4.08493150684932,11
"0","1","0","2","0",233.33,"1",45,"0","1","0","0","1","1",70000,"1",3.01095890410959,12
"1","1","0","2","0",67.58,"1",36,"0","1","1","0","0","0",5300,"1",2.2986301369863,13
"1","3","0","2","0",350.14,"0",40,"0","1","1","0","0","0",25880,"1",10.3260273972603,14
"0","2","0","2","0",214.28,"0",62,"0","1","1","1","1","1",17000,"1",2.11232876712329,16
"0","3","0","1","0",455.2,"0",66,"1","1","1","1","1","0",10000,"1",4.68219178082192,17
"0","3","0","2","0",370,"1",60,"0","1","1","1","0","1",46500,"1",11.0109589041096,18
"0","3","0","2","0",405.91,"1",60,"0","1","1","1","1","1",30000,"1",0.232876712328767,19
"0","1","0","2","0",328.82,"1",54,"0","1","1","0","0","0",10000,"1",2.64931506849315,21
"0","2","0","1","0",250,"0",45,"1","0","1","0","0","1",12000,"1",2.16164383561644,22
"0","4","0","1","0",250,"1",47.5,"1","1","1","0","0","1",17000,"1",4.11780821917808,23
"1","1","0","2","0",104.64,"1",53,"0","1","1","0","0","0",7000,"1",1.40547945205479,24
"0","1","0","2","0",166,"0",45,"0","1","1","0","0","1",10000,"1",2.28219178082192,25
"0","1","0","2","0",1000,"0",60,"0","1","1","1","0","1",40000,"1",3.13698630136986,26
"0","1","0","1","0",1000,"1",60,"1","1","1","1","1","1",44000,"1",0.838356164383562,27
"0","1","0","1","0",383.333,"1",66,"1","0","1","0","0","1",40000,"1",0.301369863013699,29
"0","1","0","2","0",183.43,"0",72,"0","1","1","1","0","0",6000,"1",2.87123287671233,30
"0","1","0","2","0",300,"1",48,"0","1","1","0","0","0",22000,"1",0.367123287671233,33
"1","2","0","2","0",138.56,"0",50,"0","1","1","0","0","0",7000,"1",0.249315068493151,37
"0","1","1","1","0",812.52,"1",45,"1","1","1","0","1","0",120000,"1",13.4630136986301,39
"1","1","0","2","0",121.36,"1",35,"0","1","1","0","0","0",11033,"1",1.78356164383562,40
"0","5","0","2","0",364.36,"0",60,"0","1","1","1","0","0",11750,"1",6.14794520547945,42
"0","1","0","2","0",372.84,"0",57,"0","1","0","1","0","1",0,"1",3.13698630136986,44
"0","2","0","2","0",333.33,"1",72,"0","1","1","1","0","1",18000,"1",0.30958904109589,45
"0","2","0","2","0",279.42,"0",55,"0","1","1","1","0","1",12700,"1",3.62739726027397,46
"0","3","0","2","0",206.67,"0",40,"0","1","1","0","0","0",20000,"1",2.68767123287671,48
"0","2","1","1","0",2000,"0",61,"1","1","1","1","0","1",60000,"1",2.23287671232877,49
"0","4","0","2","0",2256.8,"0",59,"0","1","1","1","0","1",20000,"1",19.7753424657534,51
"0","2","0","1","0",607.11,"0",62,"1","0","1","0","0","0",49000,"1",12.7452054794521,52
"0","1","0","1","0",266.66,"1",56,"1","1","1","1","1","1",5000,"1",0.778082191780822,53
"1","1","0","2","0",148.8,"1",54,"0","1","1","1","0","0",12000,"1",0.854794520547945,54
"0","1","0","2","0",1030,"1",45,"0","1","1","1","0","1",8000,"1",1.63561643835616,55
"0","1","0","2","0",578.8,"0",72,"0","1","1","1","1","1",30000,"1",20.6712328767123,56
"0","3","0","1","0",500,"1",65,"1","1","1","1","1","1",40000,"1",1.13972602739726,57
"0","1","0","2","0",100,"0",60,"0","1","1","1","0","1",6500,"1",1.17808219178082,58
"0","3","0","2","0",1000,"0",45,"0","1","1","1","0","0",53000,"1",2.1972602739726,59
"0","5","0","2","0",525.35,"0",84,"0","1","1","1","0","0",25000,"1",5.04109589041096,60
"0","3","0","2","0",568.2,"1",45,"0","1","1","0","1","1",34000,"1",1.75068493150685,62
"0","3","0","2","0",864,"1",60,"0","1","1","1","0","0",75000,"1",0.983561643835616,63
"0","2","0","1","0",830.81,"0",60,"1","1","1","1","1","1",15000,"1",7.6986301369863,67
"0","1","1","1","0",1106.66,"1",60,"1","1","1","1","0","1",85000,"1",1.56438356164384,68
"0","3","0","1","0",1544.83,"1",60,"1","0","1","1","0","1",6000,"1",0.964383561643836,69
"0","1","0","1","0",333.33,"1",54,"1","0","1","0","0","1",20000,"1",8.06027397260274,70
"0","2","0","2","0",235.06,"0",47.5,"0","1","1","0","0","0",28500,"1",15.3452054794521,72
"1","1","0","1","0",663.92,"0",63,"1","1","1","0","0","0",43548.66,"1",4.34520547945205,73
"0","5","0","2","0",533.33,"0",72,"0","1","1","1","0","1",30000,"1",1.07671232876712,75
"0","1","0","2","0",535.71,"0",72,"0","1","1","1","0","0",15000,"1",0.983561643835616,76
"0","2","0","2","0",206.67,"1",72,"0","1","1","1","0","1",12000,"1",0.789041095890411,79
"1","1","0","2","0",134.37,"0",60,"0","1","1","0","0","0",1350,"1",0.120547945205479,80
"0","4","0","1","0",256.96,"0",60,"1","1","1","1","1","1",70000,"1",16.5452054794521,82
"0","3","0","1","0",400,"0",96,"1","0","1","1","0","0",20000,"1",1.41917808219178,83
"0","2","0","1","0",176.97,"0",51,"1","1","1","0","0","1",10000,"1",0.156164383561644,84
"0","1","0","2","0",184.47,"0",41.5,"0","1","1","0","0","1",11000,"1",1.38630136986301,86
"0","3","0","2","0",450,"0",60,"0","1","1","1","0","1",8000,"1",0.580821917808219,87
"0","3","0","1","0",266.66,"0",42,"1","1","1","0","1","0",23000,"1",3.34794520547945,88
"0","1","0","2","0",166.666666666667,"0",48,"0","1","1","0","0","1",4500,"1",0.479452054794521,90
"0","1","0","2","0",462.58,"0",72,"0","1","1","1","0","0",20000,"1",7.19178082191781,95
"0","4","0","1","0",200,"1",50,"1","1","1","1","1","0",5000,"1",0.553424657534247,98
"0","1","0","2","0",604,"0",66,"0","1","1","1","1","1",15000,"1",4.74794520547945,99
"0","3","0","2","0",1091.32666666667,"0",50,"0","1","1","1","1","0",44000,"1",2.24383561643836,105
"0","1","0","2","0",166.666666666667,"0",78,"0","1","1","1","0","1",10000,"1",3.74246575342466,108
"0","3","0","2","0",263.36,"0",70,"0","1","1","1","1","1",12000,"1",1.55890410958904,109
"0","5","0","2","0",200,"0",72,"0","1","1","1","0","0",9000,"1",0.473972602739726,110
"0","2","0","1","0",376.073059360731,"0",64.5,"1","1","1","1","1","1",26700,"1",5.91780821917808,112
"0","6","0","1","0",3333.33333333333,"1",35,"1","1","1","0","1","1",162500,"1",1.75890410958904,113
