"lt_convenio_train.id","lt_convenio_train.antig_anos","lt_convenio_train.horas","lt_convenio_train.sueldo_diario_integrado","lt_convenio_train.tipo_de_abogado","lt_convenio_train.trab_base","lt_convenio_train.gen","lt_convenio_train.reinstalacion_t","lt_convenio_train.indem_const_t","lt_convenio_train.sal_caidos_t","lt_convenio_train.rec_hr_extra","lt_convenio_train.rec_20_d_ias_t","lt_convenio_train.sarimssinfo","lt_convenio_train.cod_imss","lt_convenio_train.y"
445,0.00177186904986242,-0.815779322129776,-0.74028436301692,"1","0","1","0","1","1","0","0","0","0",5500
1580,-0.184617851186135,0.127308610644889,1.06777692989743,"0","0","0","0","1","1","1","0","1","0",27500
21,-0.20640366264229,-0.344235355742444,-0.18915351950412,"0","0","1","0","1","1","0","0","0","1",10000
1869,0.390890668113974,-0.815779322129776,-0.628777735433014,"0","0","1","0","1","1","0","0","1","0",22000
1510,-0.752259271904854,0.127308610644889,0.000727862108856885,"0","0","0","0","1","1","1","0","0","0",5000
776,-0.712318617568569,1.46334984874233,-0.486326684883239,"0","0","0","0","1","1","1","0","0","0",12000
960,1.60726514108266,0.598852577032221,-0.270756096963252,"0","0","1","0","1","1","1","0","0","0",10000
1341,-0.58826052455435,-0.815779322129776,-0.669992505676348,"1","0","0","0","1","1","0","0","0","0",9000
798,1.25990248064284,0.127308610644889,0.240787226134592,"0","0","0","1","0","1","1","0","1","0",50000
934,0.699522997076177,-0.855074652662054,-0.479444218396003,"0","0","0","0","1","1","0","1","0","0",25000
1410,0.433251968167609,-0.658598000000665,-0.739724162256331,"1","0","0","0","1","1","0","0","0","0",6000
2036,-0.469043722974832,-0.658598000000665,-0.857232940846548,"1","0","1","0","1","1","0","0","0","0",19000
1023,-0.328041109939159,-1.44450461064622,-0.740657830190646,"1","0","1","0","1","1","0","0","0","0",5000
520,-0.703241196128504,-0.0298727114842223,-0.113606445504689,"0","0","0","0","1","1","1","0","1","0",21000
375,-0.686901837536387,-0.953312978992748,0.266423079988213,"1","1","1","0","1","1","0","0","0","0",20000
2137,-0.746207657611477,0.323785263306277,-0.203852120412908,"0","0","1","1","1","1","1","1","1","0",3000
1833,-0.372823055710145,-1.28732328851711,-0.132653271364715,"0","0","1","0","1","1","1","0","1","0",17800
2237,-0.743181850464789,0.598852577032221,0.589445509034509,"0","0","1","0","1","1","1","0","1","0",16000
313,1.83662132280163,0.363080593838555,1.06777692989743,"0","0","0","0","1","1","1","0","1","0",34229.08
487,-0.023644910982319,-0.462121347339277,0.105076368863015,"0","0","0","0","1","1","1","0","1","0",30000
1973,-0.689927644683076,0.598852577032221,0.124318820385469,"0","0","0","0","1","1","1","0","0","0",9000
1418,1.45476446088957,-0.344235355742444,-0.479444218396003,"0","0","0","0","1","1","0","0","1","0",35000
1216,1.10679663902042,0.127308610644889,1.55792591918612,"0","1","1","1","1","1","1","1","0","0",198281.35
637,2.21726786185501,-0.658598000000665,-0.799558938732576,"0","0","0","0","1","1","1","1","0","0",18000
736,0.540970702589712,2.01348447619422,-0.452767991701288,"0","0","0","0","1","1","0","0","0","0",36500
2162,-0.292941747037575,0.127308610644889,0.124581771762888,"0","0","0","0","1","1","1","0","1","0",16500
427,0.103438989178588,-1.05155130532344,-0.72766650779032,"0","0","0","0","1","1","0","0","1","0",22500
1280,1.34341475789144,-0.815779322129776,-0.87852056974893,"1","0","1","0","1","1","0","0","0","0",7000
56,3.77434821954079,1.07039654341955,0.47769879541035,"0","0","0","0","1","1","1","1","1","1",30000
1817,0.507686823976141,0.363080593838555,0.267490129056001,"0","0","0","0","1","1","1","1","0","0",18000
1239,-0.772229599072996,0.127308610644889,-0.418275630585022,"1","0","0","0","1","1","0","0","0","0",9000
1504,0.304957745148027,0.323785263306277,0.961525518972386,"0","0","1","1","0","1","1","1","1","0",90918.68
1100,-0.041194592433111,0.127308610644889,-0.460770859709702,"0","1","1","0","1","1","1","0","1","0",55000
944,0.116147379194679,-0.462121347339277,-0.61093133977425,"0","0","0","0","1","1","0","0","1","0",2000
2176,-0.700820550411153,-1.75886725490444,-0.799265500238934,"1","0","0","0","1","1","0","0","0","0",4200
1907,-0.46178178582278,-0.265644694677888,-0.258565061363767,"0","0","0","1","1","1","1","1","1","0",25000
1352,1.14250116335134,2.01348447619422,-0.56838275819618,"0","0","0","0","1","1","1","0","0","0",22500
1030,1.76279162842243,1.07039654341955,0.854367116339718,"0","0","0","0","1","1","1","0","0","0",30000
1195,-0.159201071153953,-0.265644694677888,0.431869037948831,"0","0","1","0","1","1","1","1","1","0",33000
1399,0.374551309521857,0.598852577032221,-0.685251307345724,"0","0","0","0","1","1","1","0","1","0",18000
222,1.28592442210436,0.127308610644889,-0.154794539521328,"0","0","0","1","1","1","1","1","0","1",30000
1645,-0.429708230067885,0.127308610644889,-0.648411438280324,"0","0","1","1","0","1","1","0","1","0",8000
288,-0.289310778461549,0.127308610644889,0.000727862108856885,"0","0","0","1","1","1","1","1","1","0",40000
1087,-0.716554747573932,-0.737188661065221,0.000727862108856885,"0","0","1","0","1","1","1","0","1","0",25000
861,-0.201562371207589,0.127308610644889,-0.494703020065379,"0","0","0","1","1","1","1","1","1","0",7500
1082,-0.236056572679835,-0.344235355742444,-0.494703020065379,"0","0","0","1","0","1","1","0","1","0",15000
