"","fecha_lista","horario_aud","busyness","num_lista","junta","expediente","año","num_actores","emplazamiento","registro_actor","ficha_p_actora","ficha_p_dem","registro_p_actora","registro_p_dem2","calcu_p_actora","calcu_p_dem","aviso_conciliador","conciliadores","p_actor","p_ractor","p_dem","p_rdem","convenio","cantidad_convenio","cantidad_pagada_convenio","desistimiento","cantidad_desistimiento","observaciones","ea1_prob_pago","ea2_cantidad_pago","ea3_enojo","ea4_compra","ea5_estudios","ea6_trabaja","ea7_busca_trabajo","ea8_prob_pago_s","ea9_cantidad_pago_s","ed1_prob_pago","ed2_cantidad_pago","ed3_estabilidad","ed4_enojo","ed5_prob_pago_s","ed6_cantidad_pago_s","era1_prob_pago","era2_cantidad_pago","era3_litigios","era4_prob_pago_s","era5_cantidad_pago_s","erd1_prob_pago","erd2_cantidad_pago","erd3_litigios","erd4_prob_pago_s","erd5_cantidad_pago_s","corte_convenios_1","fichas_partes","registros_partes","calculadoras_partes","dummy_ficha_partes","dummy_registro_partes","dummy_calculadora_partes","asistio_p_actora","asistio_p_dem","asistieron_partes","tratamiento","convenio_desist","dummy_conv_corte","conciliador_maribel","conciliador_isaac","conciliador_ana","conciliador_marina","conciliador_agustin","conciliador_margarita","conciliador_higuera","conciliador_corral","conciliador_deyanira","conciliador_doctor","conciliador_cesar","conciliador_lupita","conciliador_karina","num_conciliadores","junta_2","junta_7","junta_9","junta_11","junta_16","notificado","update_prob_a","update_prob_ra","update_prob_rd","update_pago_a","update_pago_ra","update_pago_rd"
"1",2016-12-02,1899-12-31 09:00:00,27,2,1,1544,2016,"1","1","0","0","0","0","0","0","0","0",,"0","1","0","1","1",6500,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,1,1,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
"2",2016-12-02,1899-12-31 09:00:00,27,4,1,1546,2016,"1","3","0","0","0","0","0","0","0","0",,"0","0","0","0","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"3",2016-12-02,1899-12-31 09:00:00,27,6,1,1548,2016,"1","3","0","0","0","0","0","0","0","0",,"0","1","0","1","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"4",2016-12-02,1899-12-31 09:00:00,27,8,1,1523,2016,"1","3","0","0","0","0","0","0","0","0",,"0","1","0","0","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"5",2016-12-02,1899-12-31 09:30:00,15,11,1,1553,2016,"1","3","0","0","0","0","0","0","0","0",,"0","1","0","0","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"6",2016-12-02,1899-12-31 10:00:00,21,15,1,1557,2016,"1","3","0","0","0","0","0","0","0","0",,"0","1","0","0","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"7",2016-12-02,1899-12-31 10:00:00,21,17,1,1552,2016,"1","1","0","0","0","0","0","0","0","0",,"0","1","0","1","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,1,2,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,
"8",2016-12-02,1899-12-31 10:30:00,15,20,1,1562,2016,"1","3","0","0","0","0","0","0","0","0",,"0","1","0","0","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"9",2016-12-02,1899-12-31 11:00:00,15,25,1,1561,2016,"1","3","0","0","0","0","0","0","0","0",,"0","1","0","0","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
"10",2016-12-02,1899-12-31 11:00:00,15,26,1,1563,2016,"1","3","0","0","0","0","0","0","0","0",,"0","1","0","0","0",0,0,"0",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,1,0,1,1,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
